Afrika	Африка
Japan	Япония
Suid-Amerika	Южная Америка
Noorweë	Норвегия
Engeland	Англия
Skotland	Шотландия
Wallis	Уэльс
Noord-Ierland	Северная Ирландия
Republiek van Ierland	Ирландия
Hongarye	Венгрия
Spanje	Испания
Verenigde State van Amerika	Соединённые Штаты Америки
België	Бельгия
Luxemburg	Люксембург
Heelal	Вселенная
Aarde	Земля
Lewe	Жизнь
Dood	Смерть
Mens	Человек разумный
George Washington	Вашингтон, Джордж
Tim Berners-Lee	Бернерс-Ли, Тим
Stanley Kubrick	Кубрик, Стэнли
Wikidata	Викиданные
Finland	Финляндия
Swede	Швеция
Denemarke	Дания
Pole	Польша
Litaue	Литва
Italië	Италия
Switserland	Швейцария
Oostenryk	Австрия
Griekeland	Греция
Turkye	Турция
Bier	Пиво
Portugal	Португалия
Europa	Европа
Asië	Азия
Noord-Amerika	Северная Америка
Antarktika	Антарктида
Wikipedia	Википедия
Nederland	Нидерланды
Penis	Пенис у животных
PHP	PHP
New York Stad	Нью-Йорк
Washington, D.C.	Вашингтон (округ Колумбия)
San Francisco	Сан-Франциско
Berlyn	Берлин
Los Angeles	Лос-Анджелес
Boeing	Boeing
Airbus	Airbus
Rekenaar	Компьютер
Bern	Берн
Genève	Женева
Zürich	Цюрих
IRC	IRC
Internet	Интернет
Barack Obama	Обама, Барак
Uruguay	Уругвай
Basel	Базель
Rekenaardrukker	Принтер
MediaWiki	MediaWiki
Londen	Лондон
Kaïro	Каир
Alexandrië	Александрия
Appel	Яблоко
Parys	Париж
Abraham Lincoln	Линкольн, Авраам
Google Android	Android
Google	Google (компания)
Meksiko	Мексика
Atlantiese Oseaan	Атлантический океан
Stille Oseaan	Тихий океан
Kalifornië	Калифорния
Boston	Бостон
Maandag	Понедельник
Januarie	Январь
Februarie	Февраль
Maart	Март
Mars (planeet)	Марс
Kenia	Кения
Ethiopië	Эфиопия
Ghana	Гана
April	Апрель
Mei	Май
Junie	Июнь
Julie	Июль
Augustus	Август
September	Сентябрь
Oktober	Октябрь
November	Ноябрь
Desember	Декабрь
Dinsdag	Вторник
Woensdag	Среда
Donderdag	Четверг
Vrydag	Пятница
Saterdag	Суббота
Sondag	Воскресенье
Loper (skaak)	Слон (шахматы)
Pion (skaak)	Пешка
Ruiter (skaak)	Конь (шахматы)
Toring (skaak)	Ладья (шахматы)
Koning (skaak)	Король (шахматы)
Dame (skaak)	Ферзь
Leeu	Лев
Frankryk	Франция
Esperanto	Эсперанто
Hond	Собака
Verenigde Koninkryk	Великобритания
Kat	Кошка
Volksrepubliek van Sjina	Китайская Народная Республика
Frans	Французский язык
WikiWoordeboek	Викисловарь
Vis	Рыбы
Etanol	Этанол
Brasilië	Бразилия
Alkohol	Спирты
François Hollande	Олланд, Франсуа
Rusland	Россия
Walvisagtiges	Китообразные
Optiese vesel	Оптическое волокно
Yorkshire	Йоркшир
Vierkant	Квадрат
See	Море
Swartsee	Чёрное море
Pi	Пи (число)
Pi (letter)	Пи (буква)
Wiki	Вики
Toronto	Торонто
Alabama	Алабама
São Paulo	Сан-Паулу
São Paulo (deelstaat)	Сан-Паулу (штат)
Quebec	Квебек
Pizza	Пицца
Wikimedia-stigting	Фонд Викимедиа
Jimmy Wales	Уэйлс, Джимми
Duitsland	Германия
Wit-Rusland	Белоруссия
Duits	Немецкий язык
Ysland	Исландия
God	Бог
Estland	Эстония
David Cameron	Кэмерон, Дэвид
Saturnus	Сатурн
Saturnus se ringe	Кольца Сатурна
Sjokolade	Шоколад
Vliegtuig	Самолёт
Oorlog	Война
1 (getal)	1 (число)
Stephen Harper	Харпер, Стивен
George W. Bush	Буш, Джордж Уокер
Reghoek	Прямоугольник
Letland	Латвия
Oekraïne	Украина
Tsjeggië	Чехия
Slowakye	Словакия
Slowenië	Словения
Vilnius	Вильнюс
Moldowa	Молдавия
Roemenië	Румыния
Bulgarye	Болгария
Rome	Рим
Republiek van Masedonië	Республика Македония
Albanië	Албания
Groenland	Гренландия (административная единица)
Kroasië	Хорватия
Bosnië en Herzegowina	Босния и Герцеговина
Nuuk	Нуук
Azerbeidjan	Азербайджан
Andorra	Андорра
Siprus	Республика Кипр
Georgië	Грузия
Wallonië	Валлония
Kasakstan	Казахстан
Malta	Мальта
Vlaandere	Фландрия (историческая область)
Monaco	Монако
Montenegro	Черногория
Vatikaanstad	Ватикан
San Marino	Сан-Марино
Brussel	Брюссель
Brusselse Hoofstedelike Gewes	Брюссельский столичный регион
Kuba	Куба
Belize	Белиз
Eiffel-toring	Эйфелева башня
Barbados	Барбадос
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Sleutelbord	Компьютерная клавиатура
Java (programmeertaal)	Java
Indonesië	Индонезия
QWERTY-sleutelbord	QWERTY
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Turks	Турецкий язык
Suid-Afrika	Южно-Африканская Республика
Linkin Park	Linkin Park
Algerië	Алжир
Wikisource	Викитека
Oesbekistan	Узбекистан
Sonnedou	Росянка
Poznań	Познань
Tasjkent	Ташкент
Warskou	Варшава
Islay	Айлей
Eurovision-sangfees	Конкурс песни Евровидение
Modena	Модена
Whiskey	Виски
Wyn	Вино
Water	Вода
Konjak	Коньяк
Hout	Древесина
Televisie	Телевидение
Geslag	Пол организмов
Pornografie	Порнография
Yslands	Исландский язык
Diego Velázquez	Веласкес, Диего
Chili	Чили
Jesus van Nasaret	Иисус Христос
Elvis Presley	Пресли, Элвис
Galileo Galilei	Галилей, Галилео
Mercurius	Меркурий
Geskiedenis	История
Père-Lachaise-begraafplaas	Пер-Лашез
Apple Inc.	Apple
Venus (planeet)	Венера
Taal	Язык
Liefde	Любовь
Diktatorskap	Диктатура
Sterrestelsel	Галактика
Jupiter (planeet)	Юпитер
Michelle Bachelet	Бачелет, Мишель
Melkweg	Млечный Путь
Oerknal	Большой взрыв
Uranus (planeet)	Уран (планета)
Engelse Wikipedia	Английская Википедия
Nicolas Sarkozy	Саркози, Николя
Neptunus (planeet)	Нептун
Sterrekunde	Астрономия
Singapoer	Сингапур
Wetenskap	Наука
Pluto (dwergplaneet)	Плутон
Montreal	Монреаль
Vrye sagteware	Свободное программное обеспечение
Quimper	Кемпер
Maria	Богородица
Lodewyk IX van Frankryk	Людовик IX
Liechtenstein	Лихтенштейн
Sport	Спорт
Cambridge	Кембридж
Yellowstone Nasionale Park	Йеллоустон
Adolf Hitler	Гитлер, Адольф
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Ассанж, Джулиан
Eerste Wêreldoorlog	Первая мировая война
Tweede Wêreldoorlog	Вторая мировая война
Keulen	Кёльн
Wikibooks	Викиучебник
Wikiquote	Викицитатник
Wikiversity	Викиверситет
Wikivoyage	Викигид
Wodka	Водка
Ubuntu (Linux)	Ubuntu
Skopje	Скопье
Gdynia	Гдыня
Linux	Linux
Bob Dylan	Боб Дилан
Szczecin	Щецин
Wiskunde	Математика
U2	U2
Latyn	Латинский язык
Bahrein	Бахрейн
Armenië	Армения
Wigskrif	Клинопись
Higgs-boson	Бозон Хиггса
Serwië	Сербия
Maan	Луна
Istanboel	Стамбул
Australië	Австралия
Bob Marley	Марли, Боб
Carl Sagan	Саган, Карл
Astrobiologie	Астробиология
Pioneer-plaat	Пластинки «Пионера»
Fisika	Физика
Argentinië	Аргентина
Telekommunikasie	Электросвязь
Peru	Перу
Biologie	Биология
Vreemde vlieënde voorwerp	Неопознанный летающий объект
Noord-Korea	Корейская Народно-Демократическая Республика
Kambodja	Камбоджа
Kuiper-gordel	Пояс Койпера
Koran	Коран
