ཨ་ཧྥེ་རི་ཁ།	Африка
ཉི་ཧོང་།	Япония
ནོར་ཝེ།	Норвегия
སི་ཁོ་ཁྲི་ལན་ཌི།	Шотландия
ཨར་ལེན་ཌ།	Ирландия
ཧུང་གྷ་རི།	Венгрия
ཞི་པན་ཡ།	Испания
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	Соединённые Штаты Америки
པེར་ཅིན།	Бельгия
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Люксембург
སའི་གོ་ལ།	Земля
འཚོ་བ།	Жизнь
ཤི་བ།	Смерть
འགྲོ་བ་མི།	Человек разумный
དགའ་སྐྱིད།	Счастье
ཧྥིན་ལན།	Финляндия
སི་ཝེ་དེན།	Швеция
དན་མྲག	Дания
ཕོ་ལན།	Польша
ལི་ཐུ་ཨེ་ནི་ཡ།	Литва
ཨི་ཏ་ལི།	Италия
སུད་སི།	Швейцария
ཨོ་སི་ཐྲི་ཡ།	Австрия
ཀེ་རི་སི།	Греция
ཏུར་ཀི།	Турция
སྦི་རག	Пиво
པོ་ཅུ་གྷལ།	Португалия
ཡོ་རོབ་གླིང་།	Европа
ཨེ་ཤེ་ཡ།	Азия
ལྷོ་མཐའི་གླིང་།	Антарктида
ཧོ་ལན།	Нидерланды
ནེའུ་ཡོར་ཀ།	Нью-Йорк
ཝ་ཤིན་ཏྲོན།	Вашингтон (округ Колумбия)
སན་ཧྥུ་རན་སིས་ཁོ	Сан-Франциско
པེར་ལིན།	Берлин
གློག་ཀླད།	Компьютер
པེར་ནེ།	Берн
ཀྲེ་ནེ་ཝ།	Женева
བ་རག་ཨོ་པྰ་མ།	Обама, Барак
ཨུ་རུ་གུ་ཡེ།	Уругвай
པ་སེལ།	Базель
ལོན་ཊོན།	Лондон
ཁ་ཡི་རོ	Каир
ཡ་ལི་ཧྲན་ད	Александрия
ཕ་རི།	Париж
མེག་སི་ཀོ།	Мексика
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	Атлантический океан
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	Тихий океан
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	Калифорния
བོ་སེ་ཊོན།	Бостон
གཟའ་ཟླ་བ།	Понедельник
མིག་དམར།	Марс
མ་ཨེར་སི།	Марс (мифология)
ཁེ་ནི་ཡ།	Кения
ཨི་ཐི་ཨོ་པི་ཡ།	Эфиопия
ཀ་ན།	Гана
གཟའ་མིག་དམར།	Вторник
གཟའ་ལྷག་པ།	Среда
གཟའ་ཕུར་བུ།	Четверг
གཟའ་པ་སངས།	Пятница
གཟའ་སྤེན་པ།	Суббота
གཟའ་ཉི་མ།	Воскресенье
སེང་གེ།	Лев
ཧྥ་རན་སི།	Франция
ཁྱི།	Собака
དབྱིན་ཇི་མཉམ་འབྲེལ།	Великобритания
ཞི་མི།	Кошка
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Китайская Народная Республика
ཧྥ་རན་སིའི་སྐད།	Французский язык
ཉ།	Рыбы
ཨ་རག་ཉིང་ཁུ།	Этанол
པུ་རུ་ཟིལ།	Бразилия
ཧྥ་རན་སུའཱ་ཨོ་ལན་དེ།	Олланд, Франсуа
ཨུ་རུ་སུ།	Россия
ཕའེ།	Пи (буква)
ཨ་ལ་པ་མ།	Алабама
སན་པའུ་ལོ་	Сан-Паулу
འཇར་མན།	Германия
བྷེ་ལ་རསུ།	Белоруссия
འཇར་མན་སྐད།	Немецкий язык
ཨཡིསུ་ལེན་ཌ།	Исландия
ཨིསུ་ཊོ་ནིཡ།	Эстония
སྤེན་པ།	Сатурн
སྤེན་པའི་གདུབ་ཀོར།	Кольца Сатурна
སེའུ།	Вишня (плод)
དམག་འཁྲུག	Война
༡ (གྲངས་ཀ།)	1 (число)
༢ (གྲངས་ཀ།)	2 (число)
༣ (གྲངས་ཀ།)	3 (число)
༤ (གྲངས་ཀ།)	4 (число)
༥ (གྲངས་ཀ།)	5 (число)
༠ (གྲངས་ཀ།)	0 (число)
ལ་ཊ་ཝིཡ།	Латвия
ཨུཀ་རཡི་ནི།	Украина
ཅེ་ཁེ།	Чехия
སི་ལོ་ཕ་ཁེ།	Словакия
སི་ལོ་ཝེ་ནི་ཡ།	Словения
ལྦེ་ནི་སུ་ནི།	Вильнюс
མོལ་དོ་ཝ།	Молдавия
རོ་མ་ནི་ཡ།	Румыния
པུ་ར་ག་རི་ཡ།	Болгария
རོ་མ།	Рим
མ་སེ་ཌོ་ནིཡ། (རྒྱལ་ཁབ།)	Республика Македония
ཨལ་པ་ཉི་ཡ།	Албания
གེ་རེན་ལ	Гренландия (административная единица)
ཁུརོ་ཤི་ཡ།	Хорватия
བྷོསུ་ནིཡ་དང་ཧར་ཛེ་གྷོ་ཝི་ན།	Босния и Герцеговина
ཨ་ཛར་བཡི་ཇན།	Азербайджан
ཨན་ཌོར་ར།	Андорра
སེ་པི་རི་སི།	Республика Кипр
འཇོར་ཇི་ཡ། (རྒྱལ་ཁབ།)	Грузия
ཀཛ་ཀིསུ་གཏན།	Казахстан
མལ་ཏ།	Мальта
མོ་ན་ཁོ།	Монако
མོན་ཊེནིག་རོ།	Черногория
ཝ་ཏི་ཀན་གྲོང་ཁྱོར།	Ватикан
སན་མ་རི་ནོ།	Сан-Марино
པུའུ་ལུའུ་སེལ​།	Брюссельский столичный регион
ཀུ་བ།	Куба
བེ་ལི་ཛི།	Белиз
བར་བ་ཌོ་སི།	Барбадос
ཨིན་རྡུ་ནི་ཤིས་ཡ།	Индонезия
ལྷོ་ཨ་ཧྥེ་རི་ཁ།	Южно-Африканская Республика
ཨཱལ་ཇི་རི་ཡ།	Алжир
ཨུ་ཟ་བྷེ་ཁི་སི་ཐན།	Узбекистан
ཕྰོ་ཟོ་ནན།	Познань
ཐ་ཧྲི་ཀན།	Ташкент
ཝར་སོ།	Варшава
ཆུ།	Вода
ཆགས།	Пол организмов
ཆགས་སློང་རྩོམ་རིག	Порнография
ཁ་ལའོ་ཊ་མོ་ནེ།	Моне, Клод
ཅི་ལི།	Чили
ཡེ་ཤུ།	Иисус Христос
ཨེལ་ཝེ་སི་ཕིར་ཟི་ལཱེ།	Пресли, Элвис
གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	Галилей, Галилео
ལྷག་པ།	Меркурий
ལོ་རྒྱུས།	История
པ་སངས།	Венера
སྐད་རིགས།	Язык
བརྩེ་དུང་།	Любовь
