Aafrika	Африка
Jaapan	Япония
Lõuna-Ameerika manner	Южная Америка
Norra	Норвегия
Inglismaa	Англия
Šotimaa	Шотландия
Wales	Уэльс
Põhja-Iirimaa	Северная Ирландия
Iirimaa	Ирландия
Ungari	Венгрия
Hispaania	Испания
Ameerika Ühendriigid	Соединённые Штаты Америки
Belgia	Бельгия
Luksemburg	Люксембург
Universum	Вселенная
Maa (planeet)	Земля
Elu	Жизнь
Surm	Смерть
Inimene	Человек разумный
George Washington	Вашингтон, Джордж
Douglas Adams	Адамс, Дуглас
Tim Berners-Lee	Бернерс-Ли, Тим
Leet	Leet
Imagine	Imagine (песня)
Stanley Kubrick	Кубрик, Стэнли
Wikidata	Викиданные
Soome	Финляндия
Rootsi	Швеция
Taani	Дания
Poola	Польша
Leedu	Литва
Itaalia	Италия
Šveits	Швейцария
Austria	Австрия
Kreeka	Греция
Türgi	Турция
Õlu	Пиво
Portugal	Португалия
Euroopa	Европа
Aasia	Азия
Põhja-Ameerika manner	Северная Америка
Antarktis	Антарктида
Vikipeedia	Википедия
All your base are belong to us	All your base are belong to us
Holland	Нидерланды
Suguti	Пенис у животных
PHP	PHP
New York	Нью-Йорк
Washington	Вашингтон (округ Колумбия)
San Francisco	Сан-Франциско
Berliin	Берлин
Los Angeles	Лос-Анджелес
Boeing	Boeing
Airbus	Airbus
Arvuti	Компьютер
Bern	Берн
Genf	Женева
Zürich	Цюрих
IRC	IRC
Internet	Интернет
Barack Obama	Обама, Барак
Uruguay	Уругвай
Basel	Базель
Printer	Принтер
MediaWiki	MediaWiki
London	Лондон
Kairo	Каир
Peavalu	Головная боль
Aleksandria	Александрия
Õun	Яблоко
Pariis	Париж
Abraham Lincoln	Линкольн, Авраам
Android (operatsioonisüsteem)	Android
Google	Google (компания)
Mehhiko	Мексика
Atlandi ookean	Атлантический океан
Vaikne ookean	Тихий океан
California	Калифорния
Boston	Бостон
Esmaspäev	Понедельник
Ruum	Пространство
Jaanuar	Январь
Veebruar	Февраль
Märts	Март
Marss	Марс
Mars	Марс (мифология)
Keenia	Кения
Etioopia	Эфиопия
Monarh	Монарх
Ghana	Гана
Aprill	Апрель
Mai	Май
Juuni	Июнь
Juuli	Июль
August	Август
September	Сентябрь
Oktoober	Октябрь
November	Ноябрь
Detsember	Декабрь
Teisipäev	Вторник
Kolmapäev	Среда
Neljapäev	Четверг
Reede	Пятница
Laupäev	Суббота
Pühapäev	Воскресенье
Oda (male)	Слон (шахматы)
Ettur	Пешка
Ratsu	Конь (шахматы)
Vanker (male)	Ладья (шахматы)
Kuningas (male)	Король (шахматы)
Lipp (male)	Ферзь
Lõvi	Лев
Prantsusmaa	Франция
Esperanto	Эсперанто
Koer	Собака
Suurbritannia	Великобритания
Kass	Кошка
Hiina	Китайская Народная Республика
Prantsuse keel	Французский язык
Vikisõnastik	Викисловарь
Kalad	Рыбы
Etanool	Этанол
Alkohoolne jook	Алкогольные напитки
Brasiilia	Бразилия
Alkoholid	Спирты
François Hollande	Олланд, Франсуа
Venemaa	Россия
Vaalalised	Китообразные
Kiud	Текстильные волокна
Valgusjuhe	Оптическое волокно
Yorkshire	Йоркшир
Ruut	Квадрат
Meri	Море
Must meri	Чёрное море
Pii	Пи (число)
Pii (täht)	Пи (буква)
Mango	Манго (фрукт)
Viki	Вики
Toronto	Торонто
Alabama	Алабама
São Paulo	Сан-Паулу
São Paulo osariik	Сан-Паулу (штат)
Québec	Квебек
Pitsa	Пицца
Pasta	Макаронные изделия
Boeing 747	Boeing 747
Wikimedia Foundation	Фонд Викимедиа
Jimmy Wales	Уэйлс, Джимми
Saksamaa	Германия
Valgevene	Белоруссия
Saksa keel	Немецкий язык
Island	Исландия
Jumal	Бог
Eesti	Эстония
David Cameron	Кэмерон, Дэвид
Saturn	Сатурн
Šokolaad	Шоколад
Kirss	Вишня (плод)
Lennuk	Самолёт
Sõda	Война
Üks	1 (число)
Kaks	2 (число)
Kolm	3 (число)
Null	0 (число)
Lõpmatus	Бесконечность
Stephen Harper	Харпер, Стивен
George W. Bush	Буш, Джордж Уокер
Ristkülik	Прямоугольник
Täisnurk	Прямой угол
Läti	Латвия
Ukraina	Украина
Tšehhi	Чехия
Slovakkia	Словакия
Sloveenia	Словения
Vilnius	Вильнюс
Moldova	Молдавия
Rumeenia	Румыния
Bulgaaria	Болгария
Rooma	Рим
Makedoonia	Республика Македония
Albaania	Албания
Gröönimaa	Гренландия (административная единица)
Horvaatia	Хорватия
Bosnia ja Hertsegoviina	Босния и Герцеговина
Nuuk	Нуук
Aserbaidžaan	Азербайджан
Andorra	Андорра
Küpros	Республика Кипр
Gruusia	Грузия
Valloonia	Валлония
Kasahstan	Казахстан
Malta	Мальта
Monaco	Монако
Montenegro	Черногория
Vatikan	Ватикан
San Marino	Сан-Марино
Brüssel	Брюссель
Pealinna Brüsseli piirkond	Брюссельский столичный регион
Kuuba	Куба
Belize	Белиз
Eiffeli torn	Эйфелева башня
Barbados	Барбадос
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Sõrmistik	Компьютерная клавиатура
Java	Java
Indoneesia	Индонезия
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Türgi keel	Турецкий язык
Lõuna-Aafrika Vabariik	Южно-Африканская Республика
Jean-François Champollion	Шампольон, Жан-Франсуа
Linkin Park	Linkin Park
Alžeeria	Алжир
Vikitekstid	Викитека
Sandy (orkaan)	Сэнди (ураган)
Usbekistan	Узбекистан
Huulhein	Росянка
Poznań	Познань
Taškent	Ташкент
Varssavi	Варшава
Islay	Айлей
Forthi sild	Форт-Бридж
Eurovisiooni lauluvõistlus	Конкурс песни Евровидение
Modena	Модена
Viski	Виски
Vein	Вино
Vesi	Вода
Konjak	Коньяк
Nahk (materjal)	Кожа (материал)
Puit	Древесина
Tours	Тур (город)
Televisioon	Телевидение
Pornograafia	Порнография
Islandi keel	Исландский язык
Claude Monet	Моне, Клод
Diego Velázquez	Веласкес, Диего
Tšiili	Чили
El Greco	Эль Греко
Jeesus	Иисус Христос
Elvis Presley	Пресли, Элвис
Ihunuhtlus	Телесные наказания
Sebastián Piñera	Пиньера, Себастьян
Galileo Galilei	Галилей, Галилео
Merkuur	Меркурий
Ajalugu	История
Père-Lachaise'i kalmistu	Пер-Лашез
Apple Inc.	Apple
Veenus	Венера
Keel	Язык
Armastus	Любовь
Diktatuur	Диктатура
Galaktika	Галактика
Jupiter	Юпитер
Michelle Bachelet	Бачелет, Мишель
Linnutee galaktika	Млечный Путь
Llanfair­pwllgwyn­gyllgo­gery­chwyrn­drobwll­llanty­silio­gogo­goch	Лланвайр-Пуллгвингилл
Suur Pauk	Большой взрыв
Uraan (planeet)	Уран (планета)
Eduardo Frei Ruiz-Tagle	Фрей Руис-Тагле, Эдуардо
Bretagne'i poolsaar	Бретань (историческая область)
Ingliskeelne Vikipeedia	Английская Википедия
Nicolas Sarkozy	Саркози, Николя
Ricardo Lagos	Лагос, Рикардо
Neptuun	Нептун
Astronoomia	Астрономия
Singapur	Сингапур
Teadus	Наука
Kosmoloogia	Космология
Pluuto	Плутон
Montréal	Монреаль
Vaba tarkvara	Свободное программное обеспечение
Quimper	Кемпер
Tulevik	Будущее
Maarja	Богородица
Louis IX	Людовик IX
Liechtenstein	Лихтенштейн
Ajakapsel	Капсула с посланием к потомкам
Sport	Спорт
Cambridge	Кембридж
Yellowstone'i rahvuspark	Йеллоустон
Adolf Hitler	Гитлер, Адольф
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Ассанж, Джулиан
Esimene maailmasõda	Первая мировая война
Teine maailmasõda	Вторая мировая война
Köln	Кёльн
Korruptsioon	Коррупция
Vikiõpikud	Викиучебник
Augusto Pinochet	Пиночет, Аугусто
Vikitsitaadid	Викицитатник
Vikiülikool	Викиверситет
!!!	!!!
Wikivoyage	Викигид
Viin (jook)	Водка
Kell	Часы
Janka Kupała	Янка Купала
Ubuntu	Ubuntu
Skopje	Скопье
Gdynia	Гдыня
Linux	Linux
Bob Dylan	Боб Дилан
Szczecin	Щецин
Matemaatika	Математика
U2	U2
Ladina keel	Латинский язык
Bahrein	Бахрейн
Armeenia	Армения
Jenna Jameson	Джеймсон, Дженна
Kiilkiri	Клинопись
Higgsi boson	Бозон Хиггса
Serbia	Сербия
Kuu	Луна
İstanbul	Стамбул
Austraalia	Австралия
Bob Marley	Марли, Боб
Carl Sagan	Саган, Карл
Astrobioloogia	Астробиология
Füüsika	Физика
Argentina	Аргентина
Telekommunikatsioon	Электросвязь
Peruu	Перу
Bioloogia	Биология
UFO	Неопознанный летающий объект
Põhja-Korea	Корейская Народно-Демократическая Республика
Kambodža	Камбоджа
Betsiboka	Бецибука
Kuiperi vöö	Пояс Койпера
Koraan	Коран
Dinosaurused	Динозавры
Zooloogia	Зоология
Islam	Ислам
Pirnipuu (perekond)	Груша
Ljubljana	Любляна
Salvador Allende	Альенде, Сальвадор
Botaanika	Ботаника
Ich bin ein Berliner	Я — берлинец
Lech Wałęsa	Валенса, Лех
Ratas	Колесо
Entsüklopeedia (Diderot)	Энциклопедия, или Толковый словарь наук, искусств и ремёсел
Denis Diderot	Дидро, Дени
Georges Brassens	Брассенс, Жорж
Vaim (mens)	Ум
Rahu	Мир (отсутствие войны)
Encyclopædia Britannica	Энциклопедия Британника
Lyon	Лион
Euroopa Liit	Европейский союз
Plovdiv	Пловдив
Interneti arhiiv	Архив Интернета
Tähtede sõda	Звёздные войны
Rhône-Alpes	Рона — Альпы
Veeb	Всемирная паутина
Naine	Женщина
Dysoni sfäär	Сфера Дайсона
Sofia	София
Akvedukt	Акведук
Eduardo Frei Montalva	Фрей Монтальва, Эдуардо
Ñ	Ñ
Don Quijote	Дон Кихот (роман)
Luule	Поэзия
Arvutiviirus	Компьютерный вирус
Tšornobõli katastroof	Авария на Чернобыльской АЭС
Bill Maher	Мар, Билл
Milano	Милан
Sõprus	Дружба
Mälu	Память
Arthur Rimbaud	Рембо, Артюр
Torino	Турин
Roe	Кал
Pärak	Анус
Ulrich Friedrich Woldemar von Löwendahl	Левендаль, Ульрих Фридрих Вольдемар
Harilik sidrunipuu	Лимон
Charles Baudelaire	Бодлер, Шарль
Stendhal	Стендаль
Banaan	Банан
Émile Zola	Золя, Эмиль
666	666 год
Õis	Цветок
Googol	Гугол
Mariaani süvik	Марианский жёлоб
Vladimir Võssotski	Высоцкий, Владимир Семёнович
Džomolungma	Джомолунгма
Anatoomia	Анатомия
Linn	Город
Napoleon I	Наполеон I
Olympus Mons	Олимп (Марс)
Füsioloogia	Физиология
Täht (astronoomia)	Звезда
Vesuuv	Везувий
Päike	Солнце
Louis Pasteur	Пастер, Луи
Ingemar Stenmark	Стенмарк, Ингемар
Valgusaasta	Световой год
Küla	Село
Victor Hugo	Гюго, Виктор
Okeaania	Океания
Giuseppe Garibaldi	Гарибальди, Джузеппе
Orvieto	Орвието
Kergejõustik	Лёгкая атлетика
Tsensuur	Цензура
Päikesesüsteem	Солнечная система
Läänemeri	Балтийское море
Trieste	Триест
Wisła	Висла
Siiami tapluskala	Бойцовая рыбка
Champs-Élysées	Елисейские Поля
Odra	Одра
Hambad	Зуб (биология)
Rachel Maddow	Мэддоу, Рэйчел
Vesinik	Водород
Heelium	Гелий
Põrgu	Ад
Wikimedia Commons	Викисклад
Puhastustuli	Чистилище
Angela Merkel	Меркель, Ангела
Liitium	Литий
Berüllium	Бериллий
Kõlar	Громкоговоритель
Raamat	Книга
Ööpäev	Сутки
Ida-Timor	Восточный Тимор
Öö	Ночь
Jorge Alessandri	Алессандри Родригес, Хорхе
Aasta	Год
Sajandid	Век
Łódź	Лодзь
Villeurbanne	Вийёрбан
Mont Blanc	Монблан
Rein	Рейн
Oslo	Осло
Bonn	Бонн
Pühakutepäev	Собор всех святых
Katowice	Катовице
Must auk	Чёрная дыра
Luís Vaz de Camões	Камоэнс, Луис де
Gei	Гей
The King of Rome	The King of Rome
Ceres (kääbusplaneet)	Церера
Lissabon	Лиссабон
Rzeszów	Жешув
Ichirō Suzuki	Судзуки, Итиро
Haumea (kääbusplaneet)	Хаумеа
Rhône	Рона
Makemake (kääbusplaneet)	Макемаке
Michael Bloomberg	Блумберг, Майкл Рубенс
Iona	Айона
136199 Eris	Эрида
Dubai	Дубай (город)
Dubai emiraat	Дубай (эмират)
Lionel Messi	Месси, Лионель
Padova	Падуя
Boor	Бор (элемент)
Mikołaj Kopernik	Коперник, Николай
Versailles	Версаль (город)
Ludwigsburg	Людвигсбург
Süsinik	Углерод
Alessandro Del Piero	Дель Пьеро, Алессандро
Volga	Волга
Lämmastik	Азот
Bergamo	Бергамо
Hapnik	Кислород
Milano Internazionale	Интернационале
Jean Moulin	Мулен, Жан
Planeet	Планета
Kleopatra VII	Клеопатра
Kate Bush	Буш, Кейт
Muusika	Музыка
Aberratsioon (optika)	Аберрация оптической системы
Veneetsia	Венеция
Naruto (manga)	Наруто
Po	По (река)
Sharm el Sheikh	Шарм-эш-Шейх
Neeva	Нева
Termomeeter	Термометр
Rennes	Ренн
Lille	Лилль
Moskva	Москва
Fluor	Фтор
Itaalia keel	Итальянский язык
Chihuahua	Чихуахуа
Neoon	Неон
Chihuahua osariik	Чиуауа
Peterburi	Санкт-Петербург
Tšaad	Чад
Naatrium	Натрий
Põhi	Север
Magneesium	Магний
Vesioinas	Гидротаранный насос
Alumiinium	Алюминий
Uus-Meremaa	Новая Зеландия
Lõuna	Юг
India	Индия
Räni	Кремний
Frantsium	Франций
Tuvalu	Тувалу
One Piece	One Piece. Большой куш
Fosfor	Фосфор
André-Marie Ampère	Ампер, Андре-Мари
Proosa	Проза
Raud	Железо
Tonga	Тонга
Lääs	Запад
Alessandro Volta	Вольта, Алессандро
Väävel	Сера
Samoa	Самоа
Ida	Восток
Saalomoni Saared	Соломоновы Острова
Vanuatu	Вануату
Molière	Мольер
Kloor	Хлор
Delft	Делфт
Paapua Uus-Guinea	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Valm	Басня
Lõuna-Holland	Южная Голландия
Belau	Палау
Argoon	Аргон
Nauru	Науру
Mozilla Firefox	Mozilla Firefox
Muinasjutt	Сказка
Põhja-Holland	Северная Голландия
Mikroneesia Liiduriigid	Федеративные Штаты Микронезии
Kaalium	Калий
Lyoni Olympique	Олимпик Лион
Zeelandi provints	Зеландия (провинция)
Kaltsium	Кальций
Flevoland	Флеволанд
Plii	Свинец
Marshalli Saared	Маршалловы Острова
Kiribati	Кирибати
Mongoolia	Монголия
Fidži	Фиджи
Skandium	Скандий
Stevie Wonder	Уандер, Стиви
Heilbronn	Хайльбронн
Titaan	Титан (элемент)
Venezuela	Венесуэла
Male	Шахматы
Tšingis-khaan	Чингисхан
Vanaadium	Ванадий
Maine	Мэн (штат)
Kroom	Хром
Hobune	Домашняя лошадь
Amsterdam	Амстердам
Relv	Оружие
Loomad	Животные
Suriname	Суринам
Mangaan	Марганец
Paraguay	Парагвай
Guyana	Гайана
Kunst	Искусство
Ecuador	Эквадор
Reenium	Рений
Colombia	Колумбия
Koobalt	Кобальт
Jean Racine	Расин, Жан
Volfram	Вольфрам
Nikkel	Никель
Maasikas	Земляника
Pierre Corneille	Корнель, Пьер
Budism	Буддизм
Groningen	Гронинген (город)
Boliivia	Боливия
Osmium	Осмий
Groningeni provints	Гронинген (провинция)
Vask	Медь
Trinidad ja Tobago	Тринидад и Тобаго
Paul Verlaine	Верлен, Поль
Taimed	Растения
Saint Vincent ja Grenadiinid	Сент-Винсент и Гренадины
Tsink	Цинк
New Hampshire	Нью-Гэмпшир
Saint Lucia	Сент-Люсия
Białystok	Белосток
Leonardo da Vinci	Леонардо да Винчи
Saint Kitts ja Nevis	Сент-Китс и Невис
Seened	Грибы
Dario Fo	Фо, Дарио
Jamaica	Ямайка
Stéphane Mallarmé	Малларме, Стефан
Grenada	Гренада
Friisimaa provints	Фрисландия (Нидерланды)
Massachusetts	Массачусетс
Drenthe provints	Дренте
Overijsseli provints	Оверэйссел
Guatemala	Гватемала
Gelderlandi provints	Гелдерланд
Utrechti provints	Утрехт (провинция)
Google Chrome	Google Chrome
Bahama	Багамские Острова
Connecticut	Коннектикут
Kana	Курица
Antigua ja Barbuda	Антигуа и Барбуда
Hawaii osariik	Гавайи
Honduras	Гондурас
Dominica	Доминика
Jersey	Джерси (остров)
Dominikaani Vabariik	Доминиканская Республика
Siga	Домашняя свинья
Põhja-Jäämeri	Северный Ледовитый океан
Haiti	Республика Гаити
Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu	Тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакитанатаху
El Salvador	Сальвадор
Zwolle	Зволле
Iraan	Иран
Iraak	Ирак
Alaska	Аляска
Costa Rica	Коста-Рика
Iisrael	Израиль
Utrecht	Утрехт
Panama	Панама
Jeemen	Йемен
Lausanne	Лозанна
Viirused	Вирусы
Poola keel	Польский язык
Jordaania	Иордания
Nicaragua	Никарагуа
Florida	Флорида
Kõrgõzstan	Киргизия
Arizona	Аризона
Kuveit	Кувейт
Laos	Лаос
Liibanon	Ливан
Oregon	Орегон
Maldiivid	Мальдивы
Ameerika	Америка
Utah	Юта
Veis	Корова
Malaisia	Малайзия
Valais' kanton	Вале (кантон)
Mihhail Bulgakov	Булгаков, Михаил Афанасьевич
Birma	Мьянма
Nepal	Непал
Andrei Rubljov	Андрей Рублёв
Omaan	Оман
Pakistan	Пакистан
James Bond	Джеймс Бонд
Pedro Aguirre Cerda	Агирре Серда, Педро
Katar	Катар
Tennis	Теннис
Arturo Alessandri Palma	Алессандри, Артуро
François Villon	Вийон, Франсуа
MySQL	MySQL
Saudi Araabia	Саудовская Аравия
Andrei Tarkovski	Тарковский, Андрей Арсеньевич
Sri Lanka	Шри-Ланка
Jossif Stalin	Сталин, Иосиф Виссарионович
Vöötkood	Штриховой код
Süüria	Сирия
Platon	Платон
Gallium	Галлий
Jossif Brodski	Бродский, Иосиф Александрович
Tadžikistan	Таджикистан
Pokémon	Покемон
Hiina Vabariik	Китайская Республика
YouTube	YouTube
Germaanium	Германий
Aristoteles	Аристотель
Tai	Таиланд
Rong	Поезд
Arseen	Мышьяк
Raadio	Радио
Meryl Streep	Стрип, Мерил
Türkmenistan	Туркмения
Abakan	Абакан
Seleen	Селен
Iriidium	Иридий
Araabia Ühendemiraadid	Объединённые Арабские Эмираты
Broom	Бром
Plaatina	Платина
Vietnam	Вьетнам
Charlie Chaplin	Чаплин, Чарльз
Novosibirsk	Новосибирск
Lõuna-Korea	Республика Корея
Józef Piłsudski	Пилсудский, Юзеф
Simpsonid	Симпсоны
Jekaterinburg	Екатеринбург
Krüptoon	Криптон
Afganistan	Афганистан
Gangnam Style	Gangnam Style
Nižni Novgorod	Нижний Новгород
J. R. R. Tolkien	Толкин, Джон Рональд Руэл
Limonaad	Лимонад
Samara	Самара
Rubiidium	Рубидий
Kuld	Золото
Omsk	Омск
Suessi kanal	Суэцкий канал
Kaasan	Казань
Teadlane	Учёный
Bangladesh	Бангладеш
Bleach (manga)	Блич
Franz Kafka	Кафка, Франц
Tšeljabinsk	Челябинск
Rostov Doni ääres	Ростов-на-Дону
Jorge Luis Borges	Борхес, Хорхе Луис
Ufa	Уфа
Mali	Мали
Sokrates	Сократ
Volgograd	Волгоград
Angola	Ангола
Perm	Пермь
Bhutan	Бутан
Twitter	Твиттер
Krasnojarsk	Красноярск
Brunei	Бруней
Brač	Брач
Tansaania	Танзания
Elavhõbe	Ртуть
Roald Amundsen	Амундсен, Руаль
Harry Mulisch	Мулиш, Харри
Filipiinid	Филиппины
Kesk-Aafrika Vabariik	Центральноафриканская Республика
Naruto Uzumaki	Наруто Удзумаки
Tallium	Таллий
Lõunapoolus	Южный полюс
Põhjapoolus	Северный полюс
Isaac Newton	Ньютон, Исаак
OpenStreetMap	OpenStreetMap
Albert Einstein	Эйнштейн, Альберт
Strontsium	Стронций
Pedro I (Brasiilia)	Педру I (император Бразилии)
Uimasti	Наркотик
Ütrium	Иттрий
Vismut	Висмут
Kollane	Жёлтый цвет
Kvantmehaanika	Квантовая механика
Togo	Того
Donald Tusk	Туск, Дональд
Tuneesia	Тунис
John Bardeen	Бардин, Джон
Sambia	Замбия
Zimbabwe	Зимбабве
Peking	Пекин
Lõuna-Sudaan	Южный Судан
Vladivostok	Владивосток
Tõva	Тыва
Benin	Бенин
Botswana	Ботсвана
Burkina Faso	Буркина-Фасо
Burundi	Бурунди
Komoorid	Коморы
Kongo Vabariik	Республика Конго
Alkmaar	Алкмар
Ob	Обь
Kongo Demokraatlik Vabariik	Демократическая Республика Конго
San Antonio	Сан-Антонио
Tomsk	Томск
Djibouti	Джибути
Meem	Мем
Poloonium	Полоний
Baieri	Бавария
Maailma karikavõistlused mäesuusatamises	Кубок мира по горнолыжному спорту
Ekvatoriaal-Guinea	Экваториальная Гвинея
Baden-Württemberg	Баден-Вюртемберг
Eritrea	Эритрея
New Delhi	Нью-Дели
Johannes Paulus II	Иоанн Павел II
Fjodor Dostojevski	Достоевский, Фёдор Михайлович
Amersfoort	Амерсфорт
Kamtšatka poolsaar	Камчатка
Thbilisi	Тбилиси
Andrei Sahharov	Сахаров, Андрей Дмитриевич
Astaat	Астат
Gabon	Габон
Mahatma Gandhi	Махатма Ганди
Tšuktši poolsaar	Чукотский полуостров
Koomiks	Комикс
Gambia	Гамбия
Guinea	Гвинея
Guinea-Bissau	Гвинея-Бисау
Elevandiluurannik	Кот-д’Ивуар
Kamerun	Камерун
Maribor	Марибор
Roheneemesaared	Кабо-Верде
Celje	Целе
Lesotho	Лесото
Libeeria	Либерия
Koper	Копер
Liibüa	Ливия
Aachen	Ахен
Madagaskar	Мадагаскар
Malawi	Малави
Kranj	Крань
Stuttgart	Штутгарт
Triglav	Триглав (гора)
Mauritaania	Мавритания
Poolakad	Поляки
Mauritius	Маврикий
Maroko	Марокко
Mosambiik	Мозамбик
Namiibia	Намибия
Niger	Нигер
Nigeeria	Нигерия
Charles Darwin	Дарвин, Чарлз
Uganda	Уганда
Rwanda	Руанда
Tsirkoonium	Цирконий
São Tomé ja Príncipe	Сан-Томе и Принсипи
Karlsruhe	Карлсруэ
Senegal	Сенегал
Seišellid	Сейшельские Острова
Carl von Linné	Линней, Карл
Sierra Leone	Сьерра-Леоне
Somaalia	Сомали
Nioobium	Ниобий
Jawaharlal Nehru	Неру, Джавахарлал
Julius Caesar	Гай Юлий Цезарь
Sudaan	Судан
Svaasimaa	Свазиленд
Ivan Regen	Реген, Иван
Vikerkaar	Радуга
Molübdeen	Молибден
Tehneetsium	Технеций
Hamburg	Гамбург
