Afirik	Африка
Norwees	Норвегия
Irlannda	Ирландия
Hunngariya	Венгрия
Hispaanya	Испания
Dowlaaji Dentuɗi	Соединённые Штаты Америки
Beljik	Бельгия
Luksammbuur	Люксембург
Suwed	Швеция
Poloonya	Польша
Lituwaniya	Литва
Italiya	Италия
Suwis	Швейцария
Portokeesi	Португалия
Yuroopu	Европа
Aasiya	Азия
Wikipeediya	Википедия
Holannda	Нидерланды
Kenya	Кения
Gana	Гана
Faransi	Франция
Esperanto	Эсперанто
Faransinkoore	Французский язык
Roosiya	Россия
Almaanya	Германия
Belaruusiya	Белоруссия
Almankoore	Немецкий язык
Islannda	Исландия
Estoniya	Эстония
Go’o	1 (число)
Ɗiɗi	2 (число)
Tati	3 (число)
Nayi	4 (число)
Jowi	5 (число)
Ukrayiina	Украина
Sulowakiya	Словакия
Suloweniya	Словения
Moldowa	Молдавия
Romaniya	Румыния
Bulgariya	Болгария
Masedoniya	Республика Македония
Albaniya	Албания
Korowaasiya	Хорватия
Bosniya	Босния и Герцеговина
Anndoora	Андорра
Montenegro	Черногория
Watikan	Ватикан
Aljeri	Алжир
Ndiyam	Вода
Ciile	Чили
Sinngapuur	Сингапур
Armaaniya	Армения
Serbiya	Сербия
Lewru	Луна
Peru	Перу
Alqur'aana	Коран
Naange	Солнце
Njuɓɓudi naangeyankoori	Солнечная система
East Timor	Восточный Тимор
Nawru	Науру
Fiiji	Фиджи
Ndimaagu	Мудрость
Aameerik	Америка
Wiyetnam	Вьетнам
Maali	Мали
Anngolaa	Ангола
Togo	Того
Benen	Бенин
Botswana	Ботсвана
Burkina Faso	Буркина-Фасо
Burunndi	Бурунди
Gine Ekwatoriyal	Экваториальная Гвинея
Eritereya	Эритрея
Gabon	Габон
Gammbi	Гамбия
Gine	Гвинея
Gine-Bisaawo	Гвинея-Бисау
Kodduwaar	Кот-д’Ивуар
Kamerun	Камерун
Kapu Werde	Кабо-Верде
Labiriyaa	Либерия
Muritani	Мавритания
Mozammbik	Мозамбик
Namibiya	Намибия
Niiser	Нигер
Niiseriya	Нигерия
Senegaal	Сенегал
Sarliyon	Сьерра-Леоне
Somaaliya	Сомали
Uetersen	Итерзен
Ho Chi Minh City	Хошимин
Egilis Haqiiqaajo mo Iisaa Almasiihu	Церковь истинного Иисуса
Đồng Hới	Донгхой
Kurów	Курув
Maayo Niil	Нил
Maayo Jaaliba	Нигер (река)
Nouakchott	Нуакшот
Konaakiri	Конакри
Osasco	Озаску
Aéroport de Dong Hoi	Донгхой (аэропорт)
Curitiba	Куритиба
Catégorie:Hisaabu	Категория:Математика
Duungal	Континент
Monzón	Монсон
Almazán	Альмасан
Saggitorde huuɓnude	Энциклопедия
Hello jaɓɓorgo	Заглавная страница
Catégorie:Candidates for speedy deletion	Категория:Википедия:К быстрому удалению
Carl Friedrich Gauss	Гаусс, Карл Фридрих
Qin Shi Huang	Цинь Шихуанди
Ndenndaandi	Республика
Leydi	Государство
Riisinkoore	Русский язык
UNESCO	ЮНЕСКО
Nelson Manndelaa	Мандела, Нельсон
Dewgal	Брачный союз
Nelaaɗo Muhammadu	Мухаммед
Ronald Reagan	Рейган, Рональд
Kudaku	Картофель
Limle	Число
Masarji	Кукуруза сахарная
Ngaluuji leydi	Алфавитный список стран и территорий
Wikipedia:Accueil	Википедия:Форум
Joweenayi	9 (число)
Bien Hoa	Бьенхоа
Nha Trang	Нячанг
Vung Tau	Вунгтау
Bahai	Бахаи
Joweeɗiɗi	7 (число)
Joweetati	8 (число)
Joweego	6 (число)
Paltoga	Палтога
Entrena	Энтрена
Sappo	10 (число)
Aéroport de Cam Ranh	Камрань (аэропорт)
Nowy Dwór Królewski	Новый-Двор-Кролевский
Ca Mau	Камау
Da Nang	Дананг
Fulfulde	Фула (язык)
Cirgu	Леопард
Ido	Идо
Sappo e ɗiɗi	12 (число)
Sappo e go’o	11 (число)
Sappo e tati	13 (число)
Teemerre	100 (число)
Miliyonji	Миллион
Sappo e nay	14 (число)
Sappo e jowi	15 (число)
Sappo e joweetati	18 (число)
Ciifol Gaaza	Сектор Газа
Sappo e joweenay	19 (число)
Sappo e joweeɗiɗi	17 (число)
