આફ્રિકા	Африка
જાપાન	Япония
દક્ષિણ અમેરિકા	Южная Америка
નોર્વે	Норвегия
વેલ્સ	Уэльс
નોર્ધન આયર્લેન્ડ	Северная Ирландия
હંગેરી	Венгрия
સ્પેન	Испания
સંયુક્ત રાજ્ય અમેરિકા	Соединённые Штаты Америки
બેલ્જિયમ	Бельгия
લક્ઝેમ્બર્ગ	Люксембург
બ્રહ્માંડ	Вселенная
પૃથ્વી	Земля
મનુષ્ય	Человек разумный
ફીનલેંડ	Финляндия
સ્વિડન	Швеция
પોલેંડ	Польша
લિથુઆનિયા	Литва
ઈટલી	Италия
સ્વિત્ઝરલેન્ડ	Швейцария
ઑસ્ટ્રિયા	Австрия
ગ્રીસ	Греция
તુર્કસ્તાન	Турция
પોર્ટુગલ	Португалия
યુરોપ	Европа
એશિયા	Азия
ઉત્તર અમેરિકા	Северная Америка
ઍન્ટાર્કટિકા	Антарктида
વિકિપીડિયા	Википедия
નેધરલેંડ	Нидерланды
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Компьютер
ઇન્ટરનેટ	Интернет
ઉરુગ્વે	Уругвай
કમ્પ્યુટર પ્રિન્ટર	Принтер
લંડન	Лондон
એલેક્ઝાન્ડ્રિયા	Александрия
સફરજન	Яблоко
પૅરિસ	Париж
ગૂગલ	Google (компания)
મેક્સિકો	Мексика
સોમવાર	Понедельник
જાન્યુઆરી	Январь
ફેબ્રુઆરી	Февраль
માર્ચ	Март
મંગળ (ગ્રહ)	Марс
કેન્યા	Кения
ઇથિયોપિયા	Эфиопия
ઘાના	Гана
એપ્રિલ	Апрель
મે	Май
જૂન	Июнь
જુલાઇ	Июль
ઓગસ્ટ	Август
સપ્ટેમ્બર	Сентябрь
ઓક્ટોબર	Октябрь
નવેમ્બર	Ноябрь
ડિસેમ્બર	Декабрь
મંગળવાર	Вторник
બુધવાર	Среда
ગુરુવાર	Четверг
શુક્રવાર	Пятница
શનિવાર	Суббота
રવિવાર	Воскресенье
એશિયાઇ સિંહ	Лев
ફ્રાન્સ	Франция
યુનાઇટેડ કિંગડમ	Великобритания
ચીન	Китайская Народная Республика
માછલી	Рыбы
ઇથેનોલ	Этанол
મદ્યાર્ક યુક્ત પીણું	Алкогольные напитки
બ્રાઝિલ	Бразилия
રશિયા	Россия
કાળો સમુદ્ર	Чёрное море
અલાબામા	Алабама
ક્વિબેક	Квебек
વિકિમીડિયા ફાઉન્ડેશન	Фонд Викимедиа
જીમ્મી વેલ્સ	Уэйлс, Джимми
જર્મની	Германия
બેલારુસ	Белоруссия
જર્મન ભાષા	Немецкий язык
આઈસલેંડ	Исландия
ઈશ્વર	Бог
ઈસ્ટોનિયા	Эстония
શનિ (ગ્રહ)	Сатурн
ચેરી	Вишня (плод)
૧	1 (число)
૦ (શૂન્ય)	0 (число)
લાટવિયા	Латвия
યુક્રેન	Украина
સ્લોવાકિયા	Словакия
સ્લોવેનિયા	Словения
મોલ્દોવા	Молдавия
રોમાનિયા	Румыния
બલ્ગેરિયા	Болгария
મેસેડોનિયા	Республика Македония
આલ્બેનિયા	Албания
ક્રોએશિયા	Хорватия
અઝેરબીજાન	Азербайджан
સાયપ્રસ	Республика Кипр
જ્યોર્જીયા (દેશ)	Грузия
કઝાકિસ્તાન	Казахстан
માલ્ટા	Мальта
મોનૅકો	Монако
મોન્ટેનીગ્રો	Черногория
સાન મૅરિનો	Сан-Марино
ઍફીલ ટાવર	Эйфелева башня
ઇન્ટેલ કોર્પોરેશન	Intel
કોમ્પ્યુટર કીબોર્ડ	Компьютерная клавиатура
જાવા (પ્રોગ્રામિંગ ભાષા)	Java
ઈંડોનેશિયા	Индонезия
મોઝાર્ટ	Моцарт, Вольфганг Амадей
દક્ષિણ આફ્રિકા	Южно-Африканская Республика
વિકિસ્રોત	Викитека
ઉઝબેકિસ્તાન	Узбекистан
પાણી	Вода
ચીલી	Чили
ઇસુ	Иисус Христос
ગૅલિલિયો ગૅલિલિ	Галилей, Галилео
બુધ (ગ્રહ)	Меркурий
ઇતિહાસ	История
શુક્ર (ગ્રહ)	Венера
ભાષા	Язык
પ્રેમ	Любовь
આકાશગંગા	Галактика
ગુરુ (ગ્રહ)	Юпитер
યુરેનસ (ગ્રહ)	Уран (планета)
નૅપ્ચ્યુન (ગ્રહ)	Нептун
ખગોળશાસ્ત્ર	Астрономия
સિંગાપુર	Сингапур
વિજ્ઞાન	Наука
પ્લૂટો	Плутон
ફ્રી સૉફ્ટવૅર	Свободное программное обеспечение
લીચેસ્ટેઈન	Лихтенштейн
રમત-ગમત	Спорт
ફેસબુક	Facebook
જુલિયન અસાંજે	Ассанж, Джулиан
બીજું વિશ્વ યુદ્ધ	Вторая мировая война
ભ્રષ્ટાચાર	Коррупция
વોડકા	Водка
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu
ગણિત	Математика
બહેરીન	Бахрейн
આર્મેનિયા	Армения
ચંદ્ર	Луна
ઑસ્ટ્રેલિયા	Австралия
ભૌતિકશાસ્ત્ર	Физика
આર્જેન્ટીના	Аргентина
પેરુ (દેશ)	Перу
જીવવિજ્ઞાન	Биология
અજાણી ઊડતી વસ્તુ	Неопознанный летающий объект
ઉત્તર કોરિયા	Корейская Народно-Демократическая Республика
કમ્બોડીયા	Камбоджа
કુરાન	Коран
ડાયનાસોર	Динозавры
પ્રાણીશાસ્ત્ર	Зоология
ઇસ્લામ	Ислам
વર્લ્ડ વાઈડ વેબ	Всемирная паутина
સ્ત્રી	Женщина
કોમ્પ્યુટર વાયરસ	Компьютерный вирус
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Атомные бомбардировки Хиросимы и Нагасаки
મિલાન	Милан
લીંબુ	Лимон
કેળાં	Банан
ફૂલ	Цветок
માઉન્ટ એવરેસ્ટ	Джомолунгма
શહેર	Город
નેપોલિયન બોનાપાર્ટ	Наполеон I
સૂર્ય	Солнце
લૂઈ પાશ્ચર	Пастер, Луи
પ્રકાશવર્ષ	Световой год
ગામ	Село
સૂર્યમંડળ	Солнечная система
