非洲	Африка
日本	Япония
南美洲	Южная Америка
Nò-vî	Норвегия
Sû-kak-làn	Шотландия
Vî-ngì-sṳ̂	Уэльс
Pet Oi-ngì-làn	Северная Ирландия
Hiûng-ngà-li	Венгрия
Sî-pân-ngà	Испания
Mî-koet	Соединённые Штаты Америки
Pí-li-sṳ̀	Бельгия
Lù-sêm-pó	Люксембург
Yî-chhiu	Вселенная
Thi-khiù	Земля
Sâng-miang	Жизнь
Ngìn-lui	Человек разумный
George Washington	Вашингтон, Джордж
Fûn-làn	Финляндия
Shuì-tién	Швеция
Tan-ma̍k	Дания
Pô-làn	Польша
Li̍p-thâu-vón	Литва
Yi-thai-li	Италия
Shuì-sṳ	Швейцария
O-thi-li	Австрия
Hî-lia̍p	Греция
Thú-ngí-khì	Турция
Phù-thò-ngà	Португалия
歐洲	Европа
亞洲	Азия
北美洲	Северная Америка
南極洲	Антарктида
Vì-kî Pak-khô	Википедия
Hò-làn	Нидерланды
Néu-yok-sṳ	Нью-Йорк
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Вашингтон (округ Колумбия)
Khiu-kîm-sân	Сан-Франциско
Pak-lìm	Берлин
Lo̍k-chhám-kî	Лос-Анджелес
Thien-nó	Компьютер
Mióng-chi-mióng-lu	Интернет
Barack Obama	Обама, Барак
Vû-lâ-kûi	Уругвай
Lùn-tûn	Лондон
Phìn-kó	Яблоко
Pâ-lì-sṳ	Париж
Â-pak-lâ-hón Lìm-khén	Линкольн, Авраам
Google	Google (компания)
Me̍t-sî-kô	Мексика
Thai-sî-yòng	Атлантический океан
Thai-phìn-yòng	Тихий океан
Kâ-li-fuk-nì-â	Калифорния
Pô-sṳ-tun	Бостон
Fó-sên	Марс
Âi-set-ngò-pí-â	Эфиопия
Sṳ̂-é	Лев
Fap-koet	Франция
Sṳ-kie-ngî	Эсперанто
Kiéu-è	Собака
Yîn-koet	Великобритания
Meu-é	Кошка
中華人民共和國	Китайская Народная Республика
Fap-ngî	Французский язык
Ǹg-è	Рыбы
Pâ-sî	Бразилия
François Hollande	Олланд, Франсуа
Ngò-lò-sṳ̂	Россия
Kîn-ǹg	Китообразные
Chang-fông-hìn	Квадрат
Mong-kó	Манго (фрукт)
Tô-lùn-tô	Торонто
Â-lâ-pâ-mâ	Алабама
Québec-sén	Квебек
Boeing 747	Boeing 747
Jimmy Wales	Уэйлс, Джимми
Tet-koet	Германия
Pha̍k-ngò-lò-sṳ̂	Белоруссия
Tet-ngî	Немецкий язык
Pên-tó	Исландия
Song-ti	Бог
Oi-sâ-nì-â	Эстония
David Cameron	Кэмерон, Дэвид
Thú-sên	Сатурн
Ku-thin-yi̍t Fî-kî	Самолёт
1	1 (число)
2	2 (число)
3	3 (число)
4	4 (число)
5	5 (число)
George W. Bush	Буш, Джордж Уокер
Lâ-thot-vì-â	Латвия
Vû-khiet-làn	Украина
Tshia̍p-khiet	Чехия
Sṳ̂-lo̍k-vì-nì-â	Словения
Lò-mâ-nì-â	Румыния
Pó-kâ-li-â	Болгария
Lò-mâ	Рим
Mâ-khì-tun	Республика Македония
Â-ngì-pâ-nì-â	Албания
Khiet-lò-âi-sî-â	Хорватия
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Босния и Герцеговина
Â-set-pai-kiông	Азербайджан
Set-phû-lu-sṳ̂	Республика Кипр
Kak-lû-kit-â	Грузия
Hâ-sat-khiet-sṳ̂-thán	Казахстан
Mí-li-thai	Мальта
Mô-na̍p-kô	Монако
Mùng-thi̍t-nui-kô-lò	Черногория
Sṳn Mâ-li-nok	Сан-Марино
Kú-pâ	Куба
Eiffel Thiet-thap	Эйфелева башня
Yin-thu-nì-sî-â	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Pi-tô-fûn	Бетховен, Людвиг ван
Thú-ngí-khì-ngî	Турецкий язык
Nàm-fî	Южно-Африканская Республика
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Узбекистан
Pô-tsṳ-nàm	Познань
Fà-sâ	Варшава
Súi	Вода
Thien-sṳ	Телевидение
Chṳ-li	Чили
Yâ-sû	Иисус Христос
Súi-sên	Меркурий
Li̍t-sṳ́	История
Phìn-kó Kûng-sṳ̂	Apple
Kîm-sên	Венера
Ngî-ngièn	Язык
Muk-sên	Юпитер
Thiên-vòng-sên	Уран (планета)
Pu-lie̍t-thap-nì	Бретань (историческая область)
Hói-vòng-sên	Нептун
Thiên-vùn-ho̍k	Астрономия
Sîn-kâ-po	Сингапур
Khô-ho̍k	Наука
Montréal	Монреаль
Lie̍t-kî-tûn-sṳ-tên	Лихтенштейн
Kiam-khiâu	Кембридж
Thi-ngi-chhṳ Sṳ-kie Thai-chan	Вторая мировая война
Cologne	Кёльн
Kak-tên-nì-â	Гдыня
Sṳ̍p-chhiet-chhiâng	Щецин
Sṳ-ho̍k	Математика
Lâ-tên-ngî	Латинский язык
Pâ-lìm	Бахрейн
Â-mî-nì-â	Армения
