Afrika	Африка
Japan	Япония
Južna Amerika	Южная Америка
Norveška	Норвегия
Engleska	Англия
Škotska	Шотландия
Wales	Уэльс
Sjeverna Irska	Северная Ирландия
Irska	Ирландия
Mađarska	Венгрия
Španjolska	Испания
Sjedinjene Američke Države	Соединённые Штаты Америки
Belgija	Бельгия
Luksemburg	Люксембург
Svemir	Вселенная
Zemlja	Земля
Život	Жизнь
Smrt	Смерть
Čovjek	Человек разумный
Sreća	Счастье
Triskaidekafobija	Трискаидекафобия
George Washington	Вашингтон, Джордж
Douglas Adams	Адамс, Дуглас
Tim Berners-Lee	Бернерс-Ли, Тим
Imagine (pjesma)	Imagine (песня)
Stanley Kubrick	Кубрик, Стэнли
Mayanski kalendar	Календарь майя
Finska	Финляндия
Švedska	Швеция
Danska	Дания
Poljska	Польша
Litva	Литва
Italija	Италия
Švicarska	Швейцария
Austrija	Австрия
Grčka	Греция
Turska	Турция
Pivo	Пиво
Portugal	Португалия
Europa	Европа
Azija	Азия
Sjeverna Amerika	Северная Америка
Antarktika	Антарктида
Wikipedija	Википедия
Nizozemska	Нидерланды
Spolni ud	Пенис у животных
PHP	PHP
New York City, New York	Нью-Йорк
Washington	Вашингтон (округ Колумбия)
San Francisco, Kalifornija	Сан-Франциско
Berlin	Берлин
Los Angeles, Kalifornija	Лос-Анджелес
Boeing	Boeing
Airbus	Airbus
Računalo	Компьютер
Bern	Берн
Ženeva	Женева
Zürich	Цюрих
IRC	IRC
Internet	Интернет
Barack Obama	Обама, Барак
Urugvaj	Уругвай
Basel	Базель
Pisač	Принтер
MediaWiki	MediaWiki
London	Лондон
Kairo	Каир
Glavobolja	Головная боль
Aleksandrija	Александрия
Jabuka	Яблоко
Pariz	Париж
Abraham Lincoln	Линкольн, Авраам
Android (operacijski sustav)	Android
Google (tvrtka)	Google (компания)
Meksiko	Мексика
Atlantski ocean	Атлантический океан
Tihi ocean	Тихий океан
Kalifornija	Калифорния
Boston, Massachusetts	Бостон
Ponedjeljak	Понедельник
Prostor	Пространство
Siječanj	Январь
Veljača	Февраль
Ožujak	Март
Mars	Марс
Mars (mitologija)	Марс (мифология)
Kenija	Кения
Etiopija	Эфиопия
Gana	Гана
Travanj	Апрель
Svibanj	Май
Lipanj	Июнь
Srpanj	Июль
Kolovoz	Август
Rujan	Сентябрь
Listopad	Октябрь
Studeni	Ноябрь
Prosinac	Декабрь
Utorak	Вторник
Srijeda	Среда
Četvrtak	Четверг
Petak	Пятница
Subota	Суббота
Nedjelja	Воскресенье
Lovac (šah)	Слон (шахматы)
Pješak (šah)	Пешка
Skakač	Конь (шахматы)
Top (šah)	Ладья (шахматы)
Kralj (šah)	Король (шахматы)
Kraljica (šah)	Ферзь
Lav	Лев
Francuska	Франция
Esperanto	Эсперанто
Domaći pas	Собака
Ujedinjeno Kraljevstvo	Великобритания
Domaća mačka	Кошка
Kina	Китайская Народная Республика
Francuski jezik	Французский язык
Wječnik	Викисловарь
Ribe	Рыбы
Etanol	Этанол
Alkoholno piće	Алкогольные напитки
Brazil	Бразилия
Alkoholi	Спирты
François Hollande	Олланд, Франсуа
Rusija	Россия
Kitovi	Китообразные
Vlakno	Текстильные волокна
Optičko vlakno	Оптическое волокно
Kvadrat	Квадрат
More	Море
Crno more	Чёрное море
Pi (broj)	Пи (число)
Pi	Пи (буква)
Wiki	Вики
Toronto	Торонто
Alabama	Алабама
São Paulo	Сан-Паулу
São Paulo (federalna brazilska država)	Сан-Паулу (штат)
Québec	Квебек
Pizza	Пицца
Tjestenina	Макаронные изделия
Boeing 747	Boeing 747
Wikimedija	Фонд Викимедиа
Jimmy Wales	Уэйлс, Джимми
Njemačka	Германия
Bjelorusija	Белоруссия
Larry Sanger	Сэнгер, Ларри
Il Canto degli Italiani	Гимн Италии
Njemački jezik	Немецкий язык
Island	Исландия
Bog	Бог
Estonija	Эстония
David Cameron	Кэмерон, Дэвид
Saturn	Сатурн
Saturnovi prsteni	Кольца Сатурна
Čokolada	Шоколад
Avion	Самолёт
Rat	Война
Jedan	1 (число)
Dva	2 (число)
Tri	3 (число)
Četiri	4 (число)
Pet	5 (число)
Nula	0 (число)
Beskonačnost	Бесконечность
Stephen Harper	Харпер, Стивен
George W. Bush	Буш, Джордж Уокер
Pravokutnik	Прямоугольник
Latvija	Латвия
Ukrajina	Украина
Češka	Чехия
Slovačka	Словакия
Slovenija	Словения
Vilnius	Вильнюс
Moldavija	Молдавия
Rumunjska	Румыния
Bugarska	Болгария
Rim	Рим
Makedonija	Республика Македония
Albanija	Албания
Grenland	Гренландия (административная единица)
Hrvatska	Хорватия
Bosna i Hercegovina	Босния и Герцеговина
Nuuk	Нуук
Azerbajdžan	Азербайджан
Andora	Андорра
Cipar	Республика Кипр
Gruzija	Грузия
Valonija	Валлония
Kazahstan	Казахстан
Malta	Мальта
Flandrija	Фландрия (историческая область)
Monako	Монако
Crna Gora	Черногория
Vatikan	Ватикан
San Marino	Сан-Марино
Grad Bruxelles	Брюссель
Regija glavnoga grada Bruxellesa	Брюссельский столичный регион
Kuba	Куба
Belize	Белиз
Eiffelov toranj	Эйфелева башня
Barbados	Барбадос
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Tipkovnica	Компьютерная клавиатура
Java (programski jezik)	Java
