Afrika	Африка
Japani	Япония
Amerika Kujalleq	Южная Америка
Norge	Норвегия
Irlandi	Ирландия
Ungarni	Венгрия
Spania	Испания
Naalagaaffeqatigiit	Соединённые Штаты Америки
Belgia	Бельгия
Luxembourg (nunaat)	Люксембург
Nunarsuaq	Земля
Finlandi	Финляндия
Svenskit Nunaat	Швеция
Danmarki	Дания
Poleni	Польша
Litaueni	Литва
Italia	Италия
Schweizi	Швейцария
Østrigi	Австрия
Grækerit Nunaat	Греция
Tyrkia	Турция
Portugal	Португалия
Europa	Европа
Asia	Азия
Amerika Avannarleq	Северная Америка
Qalasersuaq Kujalleq	Антарктида
Wikipedia	Википедия
Hollandi	Нидерланды
Berlin	Берлин
Barack Obama	Обама, Барак
Uruguay	Уругвай
London	Лондон
Cairo	Каир
Alexandria	Александрия
Paris	Париж
Mexico	Мексика
Ataasinngorneq	Понедельник
Jannuaari	Январь
Februaari	Февраль
Martsi	Март
Kenya	Кения
Apriili	Апрель
Maaji	Май
Juuni	Июнь
Juuli	Июль
Aggusti	Август
Septemberi	Сентябрь
Oktoberi	Октябрь
Novemberi	Ноябрь
Decemberi	Декабрь
Marlunngorneq	Вторник
Pingasunngorneq	Среда
Sisamanngorneq	Четверг
Tallimanngorneq	Пятница
Arfininngorneq	Суббота
Sapaat	Воскресенье
Franskit Nunaat	Франция
Esperanto	Эсперанто
Tuluit Nunaat	Великобритания
Kina	Китайская Народная Республика
Franskisut	Французский язык
Brazil	Бразилия
Ruslandi	Россия
Toronto	Торонто
São Paulo	Сан-Паулу
Québec	Квебек
Wikimedia	Фонд Викимедиа
Tyskit Nunaat	Германия
Hvideruslandi	Белоруссия
Tyskisut	Немецкий язык
Islandi	Исландия
Estlandi	Эстония
Letlandi	Латвия
Ukraine	Украина
Tjekkia	Чехия
Slovakia	Словакия
Slovenia	Словения
Vilnius	Вильнюс
Moldova	Молдавия
Rumænia	Румыния
Bulgaria	Болгария
Roma	Рим
Makedonia	Республика Македония
Albania	Албания
Kalaallit Nunaat	Гренландия (административная единица)
Kroatia	Хорватия
Bosnia-Hercegovina	Босния и Герцеговина
Nuuk	Нуук
Aserbajdsjan	Азербайджан
Andorra	Андорра
Cyperni	Республика Кипр
Georgia	Грузия
Kasakhstani	Казахстан
Malta	Мальта
Monaco	Монако
Montenegro	Черногория
Vatikani	Ватикан
San Marino	Сан-Марино
Bruxelles	Брюссель
Indonesia	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Tyrkiskisut	Турецкий язык
Poznań	Познань
Warszawa	Варшава
Eurovision Song Contest	Конкурс песни Евровидение
Islandimiusut	Исландский язык
Claude Monet	Моне, Клод
Diego Velázquez	Веласкес, Диего
Chile	Чили
El Greco	Эль Греко
Jiisusi-Kristus	Иисус Христос
Oqaluttuarisaaneq	История
Oqaatsit	Язык
Galaxy	Галактика
Ulloriarsiorneq	Астрономия
Singapore	Сингапур
Montréal	Монреаль
Liechtensteini	Лихтенштейн
Timersorneq	Спорт
Szczecin	Щецин
Matematikki	Математика
Latiinerisut	Латинский язык
Bahrain	Бахрейн
Serbia	Сербия
Qaammat	Луна
Istanbul	Стамбул
Australia	Австралия
Uumaatsulerineq	Физика
Argentina	Аргентина
Peru	Перу
Uumassusililerineq	Биология
Korea Avannarleq	Корейская Народно-Демократическая Республика
Islam	Ислам
Lech Wałęsa	Валенса, Лех
Lyon	Лион
EU	Европейский союз
Sofia	София
Mount Everest	Джомолунгма
Oceania	Океания
Wikimedia Commons	Викисклад
Łódź	Лодзь
Oslo	Осло
Katowice	Катовице
Dubai	Дубай (эмират)
Lionel Messi	Месси, Лионель
Nipilersorneq	Музыка
Rennes	Ренн
Lille	Лилль
Moskva	Москва
Sankt Petersborg	Санкт-Петербург
New Zealand	Новая Зеландия
India	Индия
Mongolia	Монголия
Venezuela	Венесуэла
Suriname	Суринам
Paraguay	Парагвай
Guyana	Гайана
Eqqumiitsuliorneq	Искусство
Ecuador	Эквадор
Colombia	Колумбия
Bolivia	Боливия
Naasut	Растения
Białystok	Белосток
Leonardo da Vinci	Леонардо да Винчи
Iran	Иран
Iraq	Ирак
Israel	Израиль
Yemen	Йемен
Polenimiutut	Польский язык
Jordan	Иордания
Kuwait	Кувейт
Lebanon	Ливан
Amerika	Америка
Nepal	Непал
Oman	Оман
Pakistan	Пакистан
Qatar	Катар
Saudi Arabia	Саудовская Аравия
Syria	Сирия
Thailandi	Таиланд
United Arab Emirates	Объединённые Арабские Эмираты
Vietnam	Вьетнам
Novosibirsk	Новосибирск
Korea Kujalleq	Республика Корея
Jekaterinburg	Екатеринбург
Afghanistan	Афганистан
Nizjnij Novgorod	Нижний Новгород
Samara	Самара
Kuulti	Золото
Omsk	Омск
Kazan	Казань
Bangladesh	Бангладеш
Tjeljabinsk	Челябинск
Rostov ved Don	Ростов-на-Дону
Ufa	Уфа
Volgograd	Волгоград
Perm	Пермь
Tanzania	Танзания
Philippines	Филиппины
Isaac Newton	Ньютон, Исаак
Beijing	Пекин
New Delhi	Нью-Дели
Tbilisi	Тбилиси
Libya	Ливия
Madagascar	Мадагаскар
Uganda	Уганда
FN	Организация Объединённых Наций
Nunarsualerineq	Геология
Ahmedabad	Ахмадабад
Nunalerineq	География
Praha	Прага
Mumbai	Мумбаи
Jerusalem	Иерусалим
Kosovo	Республика Косово
Grenoble	Гренобль
Chicago	Чикаго
Spanskisut	Испанский язык
Montevideo	Монтевидео
Kolkata	Калькутта
Chennai	Ченнаи
Delhi	Дели
Dhaka	Дакка
Bangalore	Бангалор
Hyderabad (India)	Хайдарабад (Индия)
Islamabad	Исламабад
Aapakaaq	Обезьяны
Uetersen	Итерзен
Finlandimiutut	Финский язык
Le Mans	Ле-Ман
Bordeaux	Бордо
Buenos Aires	Буэнос-Айрес
Mexico City	Мехико
Tokyo	Токио
La Paz (Bolivia)	Ла-Пас (Боливия)
Patagonien	Патагония
Abu Dhabi	Абу-Даби
Baghdad	Багдад
Caracas	Каракас
Pune	Пуна
Hindimiutut	Хинди
Urdumiutut	Урду
Wien	Вена
København	Копенгаген
Stockholm	Стокгольм
Helsinki	Хельсинки
Murmansk	Мурманск
Reykjavík	Рейкьявик
Tallinn	Таллин
Riga	Рига
Zanzibar	Занзибар (автономия)
Gdańsk	Гданьск
Wrocław	Вроцлав
Kaarasjoki	Карасйок
Luxembourg (illoqarfik)	Люксембург (город)
Biibili	Библия
Ho Chi Minh Illoqarfik	Хошимин
Hanoi	Ханой
Jesusip Ilumiortup Ilagiissai	Церковь истинного Иисуса
Tuluttut	Английский язык
Bangkok	Бангкок
Andorra la Vella	Андорра-ла-Велья
Odessa	Одесса
Đồng Hới	Донгхой
Concepcion, Chile	Консепсьон (город, Чили)
Kyiv	Киев
Ontario	Онтарио
Ottawa	Оттава
Manitoba	Манитоба
Alberta	Альберта
Nova Scotia	Новая Шотландия
Dar es Salaam	Дар-эс-Салам
Nouveau-Brunswick	Нью-Брансуик
Britisk Columbia	Британская Колумбия
Prince Edward Island	Остров Принца Эдуарда
Saskatchewan	Саскачеван
2012	2012 год
2011	2011 год
2010	2010 год
2009	2009 год
Newfoundland aamma Labrador	Ньюфаундленд и Лабрадор
Northwest Territories	Северо-Западные территории
Yukon	Юкон (территория)
Nunavut	Нунавут
Iqaluit	Икалуит
Whitehorse (Canada)	Уайтхорс
Yellowknife	Йеллоунайф
St. John's (Newfoundland aamma Labrador)	Сент-Джонс (Ньюфаундленд и Лабрадор)
Edmonton (Canada)	Эдмонтон
Regina (Canada)	Реджайна
Charlottetown (Canada)	Шарлоттаун
Victoria (Canada)	Виктория (Британская Колумбия)
Winnipeg	Виннипег
Fredericton	Фредериктон
Halifax (Canada)	Галифакс (Новая Шотландия)
Québec (illoqarfik)	Квебек (город)
Jannuaari 1	1 января
Jannuaari 2	2 января
Jannuaari 3	3 января
Lund	Лунд
Jannuaari 4	4 января
Jannuaari 5	5 января
Arica	Арика
Malmö	Мальмё
Jannuaari 6	6 января
Jannuaari 7	7 января
Jannuaari 8	8 января
Jannuaari 9	9 января
Jannuaari 10	10 января
Jannuaari 11	11 января
Jannuaari 12	12 января
Jannuaari 13	13 января
Jannuaari 14	14 января
Jannuaari 15	15 января
Jannuaari 16	16 января
Jannuaari 17	17 января
Jannuaari 18	18 января
Jannuaari 19	19 января
Jannuaari 20	20 января
Skien	Шиен
Jannuaari 21	21 января
Jannuaari 22	22 января
Jannuaari 23	23 января
Jannuaari 24	24 января
Jannuaari 25	25 января
Jannuaari 26	26 января
Jannuaari 27	27 января
Jannuaari 28	28 января
Jannuaari 29	29 января
Jannuaari 30	30 января
Jannuaari 31	31 января
Porsgrunn	Порсгрунн
Decemberi 2	2 декабря
Decemberi 1	1 декабря
Decemberi 3	3 декабря
Decemberi 7	7 декабря
Decemberi 5	5 декабря
Decemberi 8	8 декабря
Decemberi 10	10 декабря
Decemberi 6	6 декабря
Decemberi 9	9 декабря
Decemberi 4	4 декабря
Februaari 1	1 февраля
Februaari 2	2 февраля
Februaari 3	3 февраля
Kurów (Puławy eqqaaniittoq)	Курув
Februaari 4	4 февраля
Februaari 5	5 февраля
Februaari 6	6 февраля
Februaari 7	7 февраля
Februaari 8	8 февраля
Februaari 9	9 февраля
Februaari 10	10 февраля
Februaari 14	14 февраля
Februaari 13	13 февраля
Februaari 15	15 февраля
Februaari 11	11 февраля
Februaari 12	12 февраля
Februaari 19	19 февраля
Februaari 17	17 февраля
Februaari 16	16 февраля
Februaari 18	18 февраля
Februaari 20	20 февраля
Februaari 21	21 февраля
Februaari 22	22 февраля
Februaari 23	23 февраля
Februaari 24	24 февраля
Februaari 25	25 февраля
Februaari 26	26 февраля
Februaari 27	27 февраля
Februaari 28	28 февраля
Decemberi 11	11 декабря
Februaari 29	29 февраля
Decemberi 12	12 декабря
Decemberi 13	13 декабря
Decemberi 14	14 декабря
Decemberi 15	15 декабря
Martsi 2	2 марта
Martsi 3	3 марта
Martsi 5	5 марта
Martsi 1	1 марта
Martsi 7	7 марта
Martsi 8	8 марта
Martsi 4	4 марта
Martsi 10	10 марта
Martsi 11	11 марта
Martsi 6	6 марта
Martsi 13	13 марта
Martsi 9	9 марта
Martsi 12	12 марта
Martsi 15	15 марта
Martsi 14	14 марта
Decemberi 16	16 декабря
Decemberi 17	17 декабря
Kristiansand	Кристиансанн
Martsi 16	16 марта
Martsi 17	17 марта
Martsi 18	18 марта
Martsi 19	19 марта
Martsi 20	20 марта
Martsi 21	21 марта
Martsi 22	22 марта
Decemberi 18	18 декабря
Martsi 23	23 марта
Decemberi 19	19 декабря
Martsi 24	24 марта
Martsi 25	25 марта
Decemberi 20	20 декабря
Martsi 26	26 марта
Martsi 27	27 марта
Martsi 28	28 марта
Martsi 29	29 марта
Martsi 30	30 марта
Martsi 31	31 марта
Sana'a	Сана
Apriili 15	15 апреля
Apriili 13	13 апреля
Apriili 12	12 апреля
Apriili 14	14 апреля
Apriili 11	11 апреля
Apriili 10	10 апреля
Apriili 8	8 апреля
Apriili 9	9 апреля
Apriili 7	7 апреля
Apriili 6	6 апреля
Apriili 5	5 апреля
Apriili 4	4 апреля
Apriili 3	3 апреля
Apriili 1	1 апреля
Apriili 2	2 апреля
Apriili 16	16 апреля
