Africa	Африка
Iaponia	Япония
America Australis	Южная Америка
Norvegia	Норвегия
Anglia	Англия
Scotia	Шотландия
Cambria	Уэльс
Hibernia Septentrionalis	Северная Ирландия
Hibernia (res publica)	Ирландия
Hungaria	Венгрия
Hispania	Испания
Civitates Foederatae Americae	Соединённые Штаты Америки
Belgica	Бельгия
Luxemburgum	Люксембург
Universum	Вселенная
Tellus (planeta)	Земля
Vita	Жизнь
Mors	Смерть
Homo sapiens	Человек разумный
Felicitas	Счастье
Georgius Washingtonius	Вашингтон, Джордж
Duglassius Adams	Адамс, Дуглас
Timotheus Ioannes Berners-Lee	Бернерс-Ли, Тим
Sescenti sexaginta sex	Число зверя
Imagine (carmen)	Imagine (песня)
Stanley Kubrick	Кубрик, Стэнли
Calendarium Mayense	Календарь майя
Finnia	Финляндия
Suecia	Швеция
Dania	Дания
Polonia	Польша
Lituania	Литва
Italia	Италия
Helvetia	Швейцария
Austria	Австрия
Graecia	Греция
Turcia	Турция
Cervesia	Пиво
Portugallia	Португалия
Europa	Европа
Asia	Азия
America Septentrionalis	Северная Америка
Antarctica	Антарктида
Vicipaedia	Википедия
All your base are belong to us	All your base are belong to us
Nederlandia	Нидерланды
Lolcat	Lolcat
Penis	Пенис у животных
PHP	PHP
Novum Eboracum (urbs)	Нью-Йорк
Vasingtonia (D.C.)	Вашингтон (округ Колумбия)
Franciscopolis (California)	Сан-Франциско
Berolinum	Берлин
Angelopolis	Лос-Анджелес
Airbus	Airbus
Computatrum	Компьютер
Berna (urbs)	Берн
Genava	Женева
Turicum (urbs)	Цюрих
Interrete	Интернет
Baracus Obama	Обама, Барак
Uraquaria	Уругвай
Basilea	Базель
Typographum	Принтер
MediaVici	MediaWiki
Londinium	Лондон
Cairus	Каир
Capitis dolor	Головная боль
Alexandria	Александрия
Malum	Яблоко
Lutetia	Париж
Abrahamus Lincoln	Линкольн, Авраам
Google	Google (компания)
Mexicum	Мексика
Oceanus Atlanticus	Атлантический океан
Oceanus Pacificus	Тихий океан
California	Калифорния
Bostonia	Бостон
Dies lunae	Понедельник
Spatium	Пространство
Ianuarius	Январь
Februarius	Февраль
Martius	Март
Mars (planeta)	Марс
Mars (deus)	Марс (мифология)
Kenia	Кения
Aethiopia	Эфиопия
Gana	Гана
Aprilis	Апрель
Maius	Май
Iunius	Июнь
Iulius	Июль
Sextilis	Август
September	Сентябрь
October	Октябрь
November	Ноябрь
December	Декабрь
Dies Martis	Вторник
Dies Mercurii	Среда
Dies Iovis	Четверг
Dies Veneris	Пятница
Dies Saturni	Суббота
Dies solis	Воскресенье
Episcopus (scacci)	Слон (шахматы)
Pedes (scacci)	Пешка
Equus (scacci)	Конь (шахматы)
Turris (scacci)	Ладья (шахматы)
Rex (scacci)	Король (шахматы)
Regina (scacci)	Ферзь
Leo	Лев
Francia	Франция
Lingua Esperantica	Эсперанто
Canis	Собака
Britanniarum Regnum	Великобритания
Feles	Кошка
Res publica popularis Sinarum	Китайская Народная Республика
Lingua Francogallica	Французский язык
Victionarium	Викисловарь
Piscis	Рыбы
Ethanol	Этанол
Brasilia	Бразилия
Alcohol	Спирты
Franciscus Hollande	Олланд, Франсуа
Russia	Россия
Cetacea	Китообразные
Fibra optica	Оптическое волокно
Isuria	Йоркшир
Quadrum	Квадрат
Mare	Море
Pontus Euxinus	Чёрное море
Numerus pi	Пи (число)
Pi (littera Graeca)	Пи (буква)
Vici	Вики
Torontum	Торонто
Alabama	Алабама
Paulopolis	Сан-Паулу
Sanctus Paulus (provincia)	Сан-Паулу (штат)
Quebecum	Квебек
Placenta Neapolitana	Пицца
Pasta	Макаронные изделия
Vicimedia	Фонд Викимедиа
Iacobus Wales	Уэйлс, Джимми
Germania	Германия
Ruthenia Alba	Белоруссия
Laurentius Sanger	Сэнгер, Ларри
Hymnus Mameli	Гимн Италии
Lingua Theodisca	Немецкий язык
Islandia	Исландия
Deus	Бог
Estonia	Эстония
David Cameron	Кэмерон, Дэвид
Saturnus (planeta)	Сатурн
Socolata	Шоколад
Cerasus (pomum)	Вишня (плод)
Aëroplanum	Самолёт
Bellum	Война
Unus	1 (число)
Duo	2 (число)
Tres	3 (число)
Quattuor	4 (число)
Quinque	5 (число)
0	0 (число)
Infinitas	Бесконечность
Stephanus Harper	Харпер, Стивен
