Āfrika	Африка
Japāna	Япония
Dienvidamerika	Южная Америка
Norvēģija	Норвегия
Anglija	Англия
Skotija	Шотландия
Velsa	Уэльс
Ziemeļīrija	Северная Ирландия
Īrija	Ирландия
Ungārija	Венгрия
Spānija	Испания
Amerikas Savienotās Valstis	Соединённые Штаты Америки
Beļģija	Бельгия
Luksemburga	Люксембург
Visums	Вселенная
Zeme	Земля
Dzīvība	Жизнь
Nāve	Смерть
Cilvēks	Человек разумный
Laime	Счастье
Džordžs Vašingtons	Вашингтон, Джордж
Duglass Adamss	Адамс, Дуглас
Tims Bērnerss-Lī	Бернерс-Ли, Тим
Imagine (dziesma)	Imagine (песня)
Stenlijs Kubriks	Кубрик, Стэнли
Vikidati	Викиданные
Somija	Финляндия
Zviedrija	Швеция
Dānija	Дания
Polija	Польша
Lietuva	Литва
Itālija	Италия
Šveice	Швейцария
Austrija	Австрия
Grieķija	Греция
Turcija	Турция
Alus	Пиво
Portugāle	Португалия
Eiropa	Европа
Āzija	Азия
Ziemeļamerika	Северная Америка
Antarktīda	Антарктида
Vikipēdija	Википедия
All your base are belong to us	All your base are belong to us
Nīderlande	Нидерланды
Dzimumloceklis	Пенис у животных
PHP	PHP
Ņujorka	Нью-Йорк
Vašingtona	Вашингтон (округ Колумбия)
Sanfrancisko	Сан-Франциско
Berlīne	Берлин
Losandželosa	Лос-Анджелес
Boeing	Boeing
Airbus	Airbus
Dators	Компьютер
Berne	Берн
Ženēva	Женева
Cīrihe	Цюрих
IRC	IRC
Internets	Интернет
Baraks Obama	Обама, Барак
Urugvaja	Уругвай
Bāzele	Базель
Printeris	Принтер
MediaWiki	MediaWiki
Londona	Лондон
Kaira	Каир
Galvassāpes	Головная боль
Aleksandrija	Александрия
Aleksandrija (Virdžīnija)	Александрия (Виргиния)
Ābols	Яблоко
Parīze	Париж
Abrahams Linkolns	Линкольн, Авраам
Android	Android
Google	Google (компания)
Meksika	Мексика
Atlantijas okeāns	Атлантический океан
Klusais okeāns	Тихий океан
Kalifornija	Калифорния
Bostona	Бостон
Pirmdiena	Понедельник
Telpa	Пространство
Janvāris	Январь
Februāris	Февраль
Marts	Март
Marss (planēta)	Марс
Marss (mitoloģija)	Марс (мифология)
Kenija	Кения
Etiopija	Эфиопия
Monarhs	Монарх
Gana	Гана
Aprīlis	Апрель
Maijs	Май
Jūnijs	Июнь
Jūlijs	Июль
Augusts	Август
Septembris	Сентябрь
Oktobris	Октябрь
Novembris	Ноябрь
Decembris	Декабрь
Otrdiena	Вторник
Trešdiena	Среда
Ceturtdiena	Четверг
Piektdiena	Пятница
Sestdiena	Суббота
Svētdiena	Воскресенье
Laidnis	Слон (шахматы)
Bandinieks (šahs)	Пешка
Zirdziņš (šahs)	Конь (шахматы)
Tornis (šahs)	Ладья (шахматы)
Karalis (šahs)	Король (шахматы)
Dāma (šahs)	Ферзь
Lauva	Лев
Francija	Франция
Esperanto	Эсперанто
Suns	Собака
Apvienotā Karaliste	Великобритания
Kaķis	Кошка
Ķīna	Китайская Народная Республика
Franču valoda	Французский язык
