Afrika	Африка
Japana	Япония
Norvezy	Норвегия
Irlanda	Ирландия
Espaina	Испания
Etazonia	Соединённые Штаты Америки
Belzika	Бельгия
Loksemborga	Люксембург
Tany	Земля
Fiainana	Жизнь
Olombelona	Человек разумный
George Washington	Вашингтон, Джордж
Douglas Adams	Адамс, Дуглас
Tim Berners-Lee	Бернерс-Ли, Тим
Paul Otlet	Отле, Поль
Stanley Kubrick	Кубрик, Стэнли
Finlandy	Финляндия
Soeda	Швеция
Danmarka	Дания
Polonia	Польша
Litoania	Литва
Italia	Италия
Soisa	Швейцария
Aotrisy	Австрия
Grisy	Греция
Torkia	Турция
Labiera	Пиво
Pôrtogaly	Португалия
Eoropa	Европа
Azia	Азия
Amerika Avaratra	Северная Америка
Antartika	Антарктида
Wikipedia	Википедия
PHP	PHP
New York	Нью-Йорк
Washington D.C	Вашингтон (округ Колумбия)
San Francisco	Сан-Франциско
Berlin	Берлин
Los Angeles	Лос-Анджелес
Solosaina	Компьютер
Internet	Интернет
Barack Obama	Обама, Барак
MediaWiki	MediaWiki
London	Лондон
Kairo	Каир
Alexandria, Virginia	Александрия (Виргиния)
Paoma	Яблоко
Paris	Париж
Abraham Lincoln	Линкольн, Авраам
Android	Android
Google	Google (компания)
Meksika	Мексика
Ranomasimbe Atlantika	Атлантический океан
Ranomasimbe Pasifika	Тихий океан
Kalifornia	Калифорния
Boston, Massachusetts	Бостон
Janoary	Январь
Febroary	Февраль
Martsa	Март
Mars (fajiry)	Марс
Kenia	Кения
Etiopia	Эфиопия
Ghana	Гана
Aprily	Апрель
Mey	Май
Jiona	Июнь
Jolay	Июль
Aogositra	Август
Septambra	Сентябрь
Oktobra	Октябрь
Novambra	Ноябрь
Desambra	Декабрь
Frantsa	Франция
Fiteny esperanto	Эсперанто
Alika	Собака
Fanjakana Mitambatra	Великобритания
Saka	Кошка
Repoblika Entim-bahoakan'i Sina	Китайская Народная Республика
Fiteny frantsay	Французский язык
Wikibolana	Викисловарь
Hazandrano	Рыбы
Alkôla	Алкогольные напитки
Brazila	Бразилия
François Hollande	Олланд, Франсуа
Rosia	Россия
Efa-joro	Квадрат
Ranomasina Mainty	Чёрное море
Pi	Пи (число)
Manga	Манго (фрукт)
Wiki	Вики
Alabama	Алабама
São Paulo	Сан-Паулу
Québec	Квебек
Boeing 747	Boeing 747
Wikimedia Foundation	Фонд Викимедиа
Jimmy Wales	Уэйлс, Джимми
Alemaina	Германия
Belarosia	Белоруссия
Fiteny alemana	Немецкий язык
Islandy	Исландия
Estonia	Эстония
David Cameron	Кэмерон, Дэвид
Fiaramanidina	Самолёт
Tsiefa	Бесконечность
Stephen Harper	Харпер, Стивен
George Bush	Буш, Джордж Уокер
Latvia	Латвия
Okraina	Украина
Tsekia	Чехия
Silaovakia	Словакия
Silaovenia	Словения
Vilnius	Вильнюс
Romania	Румыния
Biolgaria	Болгария
Roma	Рим
Masedonia	Республика Македония
Albania	Албания
Groenlanda	Гренландия (административная единица)
Krôasia	Хорватия
Bosnia sy Herzegovina	Босния и Герцеговина
Azerbaijana	Азербайджан
Andora	Андорра
Repoblikan'i Kipra	Республика Кипр
Jeorjia	Грузия
Kazakstàna	Казахстан
Malta	Мальта
Monakô	Монако
Montenegro	Черногория
San Marino	Сан-Марино
Brussel	Брюссель
Kioba	Куба
Belizy	Белиз
Barbady	Барбадос
Antso	Беспроводные технологии
Indonezia	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Fiteny tiorka	Турецкий язык
Afrika Atsimo	Южно-Африканская Республика
Aljeria	Алжир
Varsôvia	Варшава
Rano	Вода
Hazo	Древесина
Tours	Тур (город)
Claude Monet	Моне, Клод
Silia	Чили
El Greco	Эль Греко
Jesoa	Иисус Христос
Elvis Presley	Пресли, Элвис
Galileo Galilei	Галилей, Галилео
Merkiora	Меркурий
Tantara	История
Apple	Apple
Venosy	Венера
Fiteny	Язык
Didy jadona	Диктатура
Vondron-kintana	Галактика
Uranus	Уран (планета)
Eduardo Frei Ruiz-Tagle	Фрей Руис-Тагле, Эдуардо
Nicolas Sarkozy	Саркози, Николя
Hainkintana	Астрономия
Singapaoro	Сингапур
Siansa	Наука
Montréal	Монреаль
Rindrankajy malalaka	Свободное программное обеспечение
Quimper	Кемпер
La Flèche	Ла-Флеш
Liechtenstein	Лихтенштейн
Adolf Hitler	Гитлер, Адольф
Facebook	Facebook
WikiLeaks	WikiLeaks
Ady Lehibe Voalohany	Первая мировая война
Ady Lehibe Faharoa	Вторая мировая война
Kolikoly	Коррупция
Augusto Pinochet	Пиночет, Аугусто
František Plánička	Планичка, Франтишек
Ubuntu	Ubuntu
Skopje	Скопье
Linux	Linux
Bob Dylan	Боб Дилан
Fanisana	Математика
U2	U2
Fiteny latina	Латинский язык
Armenia	Армения
Jenna Jameson	Джеймсон, Дженна
Serbia	Сербия
Volana	Луна
Aostralia	Австралия
Bob Marley	Марли, Боб
