Afrika	Африка
Japan	Япония
Sør-Amerika	Южная Америка
Noreg	Норвегия
England	Англия
Skottland	Шотландия
Wales	Уэльс
Nord-Irland	Северная Ирландия
Republikken Irland	Ирландия
Ungarn	Венгрия
Spania	Испания
USA	Соединённые Штаты Америки
Belgia	Бельгия
Luxembourg	Люксембург
Universet	Вселенная
Jorda	Земля
Livet	Жизнь
Død	Смерть
Menneske	Человек разумный
Lukke	Счастье
George Washington	Вашингтон, Джордж
Douglas Adams	Адамс, Дуглас
Tim Berners-Lee	Бернерс-Ли, Тим
Leet	Leet
Imagine	Imagine (песня)
Stanley Kubrick	Кубрик, Стэнли
Finland	Финляндия
Sverige	Швеция
Danmark	Дания
Polen	Польша
Litauen	Литва
Italia	Италия
Sveits	Швейцария
Austerrike	Австрия
Hellas	Греция
Tyrkia	Турция
Øl	Пиво
Portugal	Португалия
Europa	Европа
Asia	Азия
Nord-Amerika	Северная Америка
Antarktis	Антарктида
Wikipedia	Википедия
Nederland	Нидерланды
Penis	Пенис у животных
PHP	PHP
New York by	Нью-Йорк
Washington, D.C.	Вашингтон (округ Колумбия)
San Francisco	Сан-Франциско
Berlin	Берлин
Los Angeles	Лос-Анджелес
Boeing	Boeing
Datamaskin	Компьютер
Bern	Берн
Genève	Женева
Zürich	Цюрих
Internet Relay Chat	IRC
Internett	Интернет
Barack Obama	Обама, Барак
Uruguay	Уругвай
Basel	Базель
MediaWiki	MediaWiki
London	Лондон
Kairo	Каир
Hovudverk	Головная боль
Alexandria	Александрия
Eple	Яблоко
Paris	Париж
Abraham Lincoln	Линкольн, Авраам
Android	Android
Google	Google (компания)
Mexico	Мексика
Atlanterhavet	Атлантический океан
Stillehavet	Тихий океан
California	Калифорния
Boston	Бостон
Måndag	Понедельник
Januar	Январь
Februar	Февраль
Månaden mars	Март
Planeten Mars	Марс
Guden Mars	Марс (мифология)
Kenya	Кения
Etiopia	Эфиопия
Ghana	Гана
April	Апрель
Mai	Май
Juni	Июнь
Juli	Июль
August	Август
September	Сентябрь
Oktober	Октябрь
November	Ноябрь
Desember	Декабрь
Tysdag	Вторник
Onsdag	Среда
Torsdag	Четверг
Fredag	Пятница
Laurdag	Суббота
Sundag	Воскресенье
Sjakkbrikka løpar	Слон (шахматы)
Sjakkbrikka bonde	Пешка
Sjakkbrikka springar	Конь (шахматы)
Sjakkbrikka tårn	Ладья (шахматы)
Sjakkbrikka konge	Король (шахматы)
Sjakkbrikka dronning	Ферзь
Løve	Лев
Frankrike	Франция
Esperanto	Эсперанто
Hund	Собака
Storbritannia	Великобритания
Katt	Кошка
Folkerepublikken Kina	Китайская Народная Республика
Fransk	Французский язык
Wiktionary	Викисловарь
Fisk	Рыбы
Etanol	Этанол
