Aphrika	Африка
Nihun	Япония
Urin Awya Yala	Южная Америка
Nurwiga	Норвегия
Inlatirra	Англия
Iskusya	Шотландия
Kamri	Уэльс
Chinchay Ilanda	Северная Ирландия
Ilanda	Ирландия
Unriya	Венгрия
Ispaña	Испания
Hukllachasqa Amirika Suyukuna	Соединённые Штаты Америки
Bilhika	Бельгия
Luksimbur	Люксембург
Ch'askancha	Вселенная
Tiksimuyu	Земля
Kawsay	Жизнь
Wañuy	Смерть
Runa	Человек разумный
Kusikuy	Счастье
George Washington	Вашингтон, Джордж
Stanley Kubrick	Кубрик, Стэнли
Phinsuyu	Финляндия
Suwidsuyu	Швеция
Dansuyu	Дания
Pulunya	Польша
Lituwa	Литва
Italya	Италия
Suwisa	Швейцария
Awstiriya	Австрия
Grisya	Греция
Turkiya	Турция
Sirwisa	Пиво
Purtugal	Португалия
Iwrupa	Европа
Asya	Азия
Chinchay Awya Yala	Северная Америка
Antartika	Антарктида
Wikipidiya	Википедия
Urasuyu	Нидерланды
Ullu	Пенис у животных
New York	Нью-Йорк
Washington DC	Вашингтон (округ Колумбия)
San Francisco (California)	Сан-Франциско
Berlin	Берлин
Los Angeles	Лос-Анджелес
Antañiqiq	Компьютер
Bern	Берн
Genève	Женева
Zürich	Цюрих
Internet	Интернет
Barack Obama	Обама, Барак
Uruwayi	Уругвай
Basel	Базель
Antañiqiq ch'ipachina	Принтер
London	Лондон
Qahira	Каир
Uma nanay	Головная боль
Iskandariya	Александрия
Mansana	Яблоко
Paris	Париж
Abraham Lincoln	Линкольн, Авраам
Google	Google (компания)
Mishiku	Мексика
Atlantiku mama qucha	Атлантический океан
Sanp'a mama qucha	Тихий океан
California suyu	Калифорния
Boston (Massachusetts)	Бостон
Killachaw	Понедельник
Qhulla puquy killa	Январь
Hatun puquy killa	Февраль
Pawqar waray killa	Март
Awqakuq	Марс
Kinya	Кения
Ithiyupya	Эфиопия
Gana	Гана
Ayriway killa	Апрель
Aymuray killa	Май
Inti raymi killa	Июнь
Anta situwa killa	Июль
Chakra yapuy killa	Август
Tarpuy killa	Сентябрь
Kantaray killa	Октябрь
Ayamarq'a killa	Ноябрь
Qhapaq raymi killa	Декабрь
Atipachaw	Вторник
Quyllurchaw	Среда
Illapachaw	Четверг
Ch'askachaw	Пятница
K'uychichaw	Суббота
Intichaw	Воскресенье
Liyun	Лев
Ransiya	Франция
Esperanto simi	Эсперанто
Allqu	Собака
Hukllachasqa Qhapaq Suyu	Великобритания
Michi	Кошка
Chunwa Runallaqta Ripuwlika	Китайская Народная Республика
Ransis simi	Французский язык
Challwa	Рыбы
Ethanul	Этанол
Brasil	Бразилия
Alkul	Спирты
François Hollande	Олланд, Франсуа
Rusiya	Россия
Wallina	Китообразные
Q'aytucha	Текстильные волокна
T'asra	Квадрат
Hatun qucha	Море
Yana hatun qucha	Чёрное море
Chiqaluwa	Пи (число)
Wiki	Вики
Toronto	Торонто
Alabama suyu	Алабама
São Paulo	Сан-Паулу
São Paulo suyu	Сан-Паулу (штат)
Quebec pruwinsya	Квебек
Wikimedia	Фонд Викимедиа
Jimmy Wales	Уэйлс, Джимми
Alimanya	Германия
Bilarus	Белоруссия
Aliman simi	Немецкий язык
Islandya	Исландия
Apuyaya	Бог
Istunya	Эстония
David Cameron	Кэмерон, Дэвид
Hawcha	Сатурн
Chukulati	Шоколад
Antanka	Самолёт
Maqanakuy	Война
Huk	1 (число)
Iskay	2 (число)
Kimsa	3 (число)
