Afrihkká	Африка
Jáhpan	Япония
Lulli-Amerihkká	Южная Америка
Norga	Норвегия
Englánda	Англия
Irlánda	Ирландия
Ungára	Венгрия
Spánia	Испания
Amerihká ovttastuvvan stáhtat	Соединённые Штаты Америки
Belgia	Бельгия
Luxemburg	Люксембург
Eana	Земля
Olmmoš	Человек разумный
Suopma	Финляндия
Ruoŧŧa	Швеция
Dánmárku	Дания
Polska	Польша
Lietuva	Литва
Itália	Италия
Šveica	Швейцария
Nuortariika	Австрия
Greika	Греция
Durka	Турция
Portugal	Португалия
Eurohpá	Европа
Ásia	Азия
Davvi-Amerihkká	Северная Америка
Antárktis	Антарктида
Wikipedia	Википедия
Vuolleeatnamat	Нидерланды
Washington D.C.	Вашингтон (округ Колумбия)
Berlin	Берлин
Los Angeles	Лос-Анджелес
Bern	Берн
Barack Obama	Обама, Барак
Uruguay	Уругвай
London	Лондон
Kairo	Каир
Paris	Париж
Meksiko	Мексика
Atlánta	Атлантический океан
Jaskesáhpi	Тихий океан
Kalifornia	Калифорния
Vuossárga	Понедельник
Ođđajagimánnu	Январь
Guovvamánnu	Февраль
Njukčamánnu	Март
Mars	Марс
Kenia	Кения
Etiopia	Эфиопия
Ghana	Гана
Cuoŋománnu	Апрель
Miessemánnu	Май
Geassemánnu	Июнь
Suoidnemánnu	Июль
Borgemánnu	Август
Čakčamánnu	Сентябрь
Golggotmánnu	Октябрь
Skábmamánnu	Ноябрь
Juovlamánnu	Декабрь
Maŋŋebárga	Вторник
Gaskavahkku	Среда
Duorastat	Четверг
Bearjadat	Пятница
Lávvardat	Суббота
Sotnabeaivi	Воскресенье
Ledjon	Лев
Frankriika	Франция
Esperantogiella	Эсперанто
Ovttastuvvan gonagasriika	Великобритания
Bussá	Кошка
Kiinná	Китайская Народная Республика
Fránskkagiella	Французский язык
Brasilia	Бразилия
François Hollande	Олланд, Франсуа
Ruošša	Россия
Hvaler	Китообразные
Kvadráhta	Квадрат
Π	Пи (буква)
Toronto	Торонто
Alabama	Алабама
São Paulo	Сан-Паулу
Duiska	Германия
Vilges-Ruošša	Белоруссия
Duiskkagiella	Немецкий язык
Islánda	Исландия
Estteeana	Эстония
Saturn	Сатурн
Agálašvuohta	Бесконечность
George W. Bush	Буш, Джордж Уокер
Rektáŋgel	Прямоугольник
Látvia	Латвия
Ukraina	Украина
Čeahkka	Чехия
Slovakia	Словакия
Slovenia	Словения
Vilnius	Вильнюс
Moldova	Молдавия
Románia	Румыния
Bulgária	Болгария
Roma	Рим
Makedonia	Республика Македония
Albánia	Албания
Kalaallit Nunaat	Гренландия (административная единица)
Kroatia	Хорватия
Bosnia ja Hercegovina	Босния и Герцеговина
Nuuk	Нуук
Aserbaižan	Азербайджан
Andorra	Андорра
Kypros	Республика Кипр
Georgia	Грузия
Kasakstan	Казахстан
Malta	Мальта
Monaco	Монако
Montenegro	Черногория
Vatikána	Ватикан
San Marino	Сан-Марино
Bryssel	Брюссельский столичный регион
Cuba	Куба
Belize	Белиз
Eiffel-toardna	Эйфелева башня
Barbados	Барбадос
Boallobeavdi	Компьютерная клавиатура
Indonesia	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Durkkagiella	Турецкий язык
Lulli-Afrihkká	Южно-Африканская Республика
Algeria	Алжир
Usbekistan	Узбекистан
Čurolastašattut	Росянка
Warszawa	Варшава
Eurovision lávllagilvvohallan	Конкурс песни Евровидение
Čáhci	Вода
Islánddagiella	Исландский язык
Chile	Чили
Jesus	Иисус Христос
Merkur	Меркурий
Apple Inc.	Apple
Venus	Венера
Giella	Язык
Jupiter	Юпитер
Álgobávkkeheapmi	Большой взрыв
Uranus	Уран (планета)
Bretagne	Бретань (историческая область)
Neptun	Нептун
Singapore	Сингапур
Liechtenstein	Лихтенштейн
Nubbi máilmmisoahti	Вторая мировая война
Augusto Pinochet	Пиночет, Аугусто
Skopje	Скопье
Bob Dylan	Боб Дилан
Láhtengiella	Латинский язык
Bahrain	Бахрейн
Armenia	Армения
Higgsa boson	Бозон Хиггса
Serbia	Сербия
Mánnu	Луна
Istanbul	Стамбул
Australia	Австралия
Argentiinná	Аргентина
Peru	Перу
Davvi-Korea	Корейская Народно-Демократическая Республика
Cambodja	Камбоджа
Isláma	Ислам
Pearamuorat	Груша
Ljubljana	Любляна
Lech Wałęsa	Валенса, Лех
Eurohpá uniovdna	Европейский союз
Rhône-Alpes	Рона — Альпы
Sofia	София
666	666 год
Mount Everest	Джомолунгма
Beaivváš	Солнце
Oseania	Океания
Beaivvášgoddi	Солнечная система
Angela Merkel	Меркель, Ангела
Jándor	Сутки
Nuorta-Timor	Восточный Тимор
Jahki	Год
Jahkečuohti	Век
Oslo	Осло
Katowice	Катовице
Lisboa	Лиссабон
Dubai	Дубай (эмират)
Planehta	Планета
Moskva	Москва
Itáliagiella	Итальянский язык
Chad	Чад
Ođđa-Selánda	Новая Зеландия
India	Индия
Tuvalu	Тувалу
Tonga	Тонга
Samoa	Самоа
Salomonsullot	Соломоновы Острова
Vanuatu	Вануату
Papua-Ođđa-Guinea	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Palau	Палау
Nauru	Науру
Mikronesia	Федеративные Штаты Микронезии
Marshallsullot	Маршалловы Острова
Kiribati	Кирибати
Mongolia	Монголия
Fiži	Фиджи
Venezuela	Венесуэла
Šáhkka	Шахматы
Maine	Мэн (штат)
Heabuš	Домашняя лошадь
Amsterdam	Амстердам
Suriname	Суринам
Paraguay	Парагвай
Guyana	Гайана
Ecuador	Эквадор
Kolombia	Колумбия
Eanamuorjjit	Земляника
Buddhisma	Буддизм
Bolivia	Боливия
New Hampshire	Нью-Гэмпшир
Leonardo da Vinci	Леонардо да Винчи
Saint Christopher ja Nevis	Сент-Китс и Невис
Guobbarat	Грибы
Jamaica	Ямайка
Grenada	Гренада
Massachusetts	Массачусетс
Guatemala	Гватемала
Bahama	Багамские Острова
Connecticut	Коннектикут
Antigua ja Barbuda	Антигуа и Барбуда
Haváija	Гавайи
Honduras	Гондурас
Dominica	Доминика
Dominikána dásseváldi	Доминиканская Республика
Haiti	Республика Гаити
El Salvador	Сальвадор
Iran	Иран
Irak	Ирак
Alaska	Аляска
Costa Rica	Коста-Рика
Israel	Израиль
Panama	Панама
Jemen	Йемен
Polskkagiella	Польский язык
Jordánia	Иордания
Nicaragua	Никарагуа
Florida	Флорида
Kirgisistan	Киргизия
Arizona	Аризона
Kuwait	Кувейт
Laos	Лаос
Libanon	Ливан
Oregon	Орегон
Malediivvat	Мальдивы
Utah	Юта
Malaysia	Малайзия
Valais (kantona)	Вале (кантон)
Myanmar	Мьянма
Nepal	Непал
Oman	Оман
Pakistan	Пакистан
Qatar	Катар
Saudi-Arábia	Саудовская Аравия
