Aprika	Африка
Siapan	Япония
Saut Amerika	Южная Америка
Nowe	Норвегия
Inglan	Англия
Skotlan	Шотландия
Wels	Уэльс
Noten Aialan	Северная Ирландия
Ripablik bilong Aialan	Ирландия
Hangari	Венгрия
Spen	Испания
Ol Yunaitet Stet	Соединённые Штаты Америки
Beljiam	Бельгия
Giraun	Земля
Pinlan	Финляндия
Suwidan	Швеция
Denmak	Дания
Polan	Польша
Lituwenia	Литва
Itali	Италия
Suwisalan	Швейцария
Ostria	Австрия
Gris	Греция
Teki	Турция
Posugol	Португалия
Yurop	Европа
Esia	Азия
Not Amerika	Северная Америка
Wikipedia	Википедия
Ol Nitelan	Нидерланды
Niu Yok Siti	Нью-Йорк
Wasington DC	Вашингтон (округ Колумбия)
Berlin	Берлин
Berne	Берн
Intanet	Интернет
Barack Obama	Обама, Барак
Landen	Лондон
Kairo	Каир
Paris	Париж
Meksiko	Мексика
Solwara Atlantik	Атлантический океан
Solwara Pasifik	Тихий океан
Mande	Понедельник
Janueri	Январь
Februeri	Февраль
Mas	Март
Epril	Апрель
Me	Май
Jun	Июнь
Julai	Июль
Ogas	Август
Septemba	Сентябрь
Oktoba	Октябрь
Novemba	Ноябрь
Disemba	Декабрь
Tunde	Вторник
Trinde	Среда
Fonde	Четверг
Fraide	Пятница
Sarere	Суббота
Sande	Воскресенье
Frens	Франция
Esperanto	Эсперанто
Yunaitet Kingdom	Великобритания
Ol Manmeri Ripablik bilong Saina	Китайская Народная Республика
Tok Frens	Французский язык
Wiktionary	Викисловарь
Rasia	Россия
San Paulu	Сан-Паулу
Siamani	Германия
Belaras	Белоруссия
Tok Jeman	Немецкий язык
Aislan	Исландия
God	Бог
Estonia	Эстония
George Walker Bush	Буш, Джордж Уокер
Latvia	Латвия
Yukren	Украина
Sek Ripablik	Чехия
Slovakia	Словакия
Vilnius	Вильнюс
Romenia	Румыния
Balgeria	Болгария
Rom	Рим
Albenia	Албания
Greenland	Гренландия (административная единица)
Krowesia	Хорватия
Azerbaijan	Азербайджан
Andora	Андорра
Saipras	Республика Кипр
San Marino	Сан-Марино
Brussels	Брюссель
Indonisia	Индонезия
Saut Aprika	Южно-Африканская Республика
Woso	Варшава
Tok Aislan	Исландский язык
Jisas	Иисус Христос
Histori	История
Tokples	Язык
Yurenes (planet)	Уран (планета)
Nicolas Sarkozy	Саркози, Николя
Estronomi	Астрономия
Ubuntu	Ubuntu
Szczecin	Щецин
Ol matematik	Математика
U2	U2
Tok Latin	Латинский язык
Armenia	Армения
Sebia	Сербия
Mun (i stap long heven)	Луна
Ostrelia	Австралия
Save long laip	Биология
Not Koria	Корейская Народно-Демократическая Республика
Islam	Ислам
Lyon	Лион
Sofia	София
Banana	Банан
San	Солнце
Osenia	Океания
Wikimedia Commons	Викисклад
Buk	Книга
De	Сутки
Yia	Год
Oslo	Осло
Katowice	Катовице
Planet	Планета
Lille	Лилль
Mosko	Москва
Tok Itali	Итальянский язык
Niu Silan	Новая Зеландия
India	Индия
Tuvalu	Тувалу
Tonga	Тонга
Samoa	Самоа
Solomon Ailans	Соломоновы Острова
Vanuatu	Вануату
Papua Niugini	Папуа — Новая Гвинея
Nauru	Науру
Ol Masol Ailan	Маршалловы Острова
Kiribas	Кирибати
Fiji	Фиджи
Abus	Животные
At	Искусство
Budisim	Буддизм
Sayor	Растения
Irak	Ирак
Israel	Израиль
Panama	Панама
Yemen	Йемен
Tok Polan	Польский язык
Amerika (Kontinen)	Америка
Malaysia	Малайзия
Platon	Платон
Ripablik bilong Saina	Китайская Республика
Aristoteles	Аристотель
Tailan	Таиланд
Vietnam	Вьетнам
Saut Koria	Республика Корея
Socrates	Сократ
Bhutan	Бутан
Brunai	Бруней
Albert Einstein	Эйнштейн, Альберт
Yelo (kala)	Жёлтый цвет
Beijing	Пекин
Gabon	Габон
Gandi	Махатма Ганди
Lesoto	Лесото
Naijiria	Нигерия
Senegal	Сенегал
Sierra Leone	Сьерра-Леоне
Julius Caesar	Гай Юлий Цезарь
Save long giraun	География
Kala	Цвет
Blu (kala)	Синий цвет
Bill Clinton	Клинтон, Билл
Yerusalem	Иерусалим
Kolorado	Колорадо
Chicago	Чикаго
Tok Spen	Испанский язык
Mani	Деньги
Uetersen	Итерзен
Augustus Caesar	Октавиан Август
Trajan	Траян
Tokyo	Токио
Bagdad	Багдад
Stockholm	Стокгольм
Dublin	Дублин
Reykjavik	Рейкьявик
Talin	Таллин
Riga	Рига
Bratislava	Братислава
Budapest	Будапешт
Katolik	Католицизм
Baibel	Библия
Ho Chi Minh City	Хошимин
Tru Jisas Lotu	Церковь истинного Иисуса
Tokples Inglis	Английский язык
Andorra la Vella	Андорра-ла-Велья
Kuala Lumpur	Куала-Лумпур
Taipei	Тайбэй
Đồng Hới	Донгхой
Concepción	Консепсьон (город, Чили)
Ottawa	Оттава
Końskowola	Коньсковоля
2000	2000 год
2003	2003 год
2002	2002 год
2001	2001 год
2008	2008 год
2004	2004 год
2005	2005 год
2006	2006 год
2007	2007 год
1901	1901 год
1902	1902 год
1903	1903 год
1904	1904 год
1905	1905 год
1907	1907 год
1906	1906 год
1908	1908 год
1909	1909 год
1992	1992 год
1991	1991 год
1990	1990 год
1993	1993 год
1994	1994 год
1995	1995 год
1996	1996 год
1910	1910 год
1911	1911 год
1912	1912 год
1913	1913 год
1914	1914 год
1915	1915 год
1916	1916 год
1997	1997 год
1998	1998 год
1999	1999 год
1917	1917 год
1918	1918 год
1920	1920 год
1919	1919 год
1921	1921 год
1922	1922 год
1923	1923 год
1924	1924 год
Kurów	Курув
1989	1989 год
1988	1988 год
1987	1987 год
1986	1986 год
1985	1985 год
1984	1984 год
1983	1983 год
1982	1982 год
1981	1981 год
1980	1980 год
1970	1970 год
1971	1971 год
1972	1972 год
1973	1973 год
1974	1974 год
1975	1975 год
1976	1976 год
1977	1977 год
1978	1978 год
1979	1979 год
1969	1969 год
Benedict XVI	Бенедикт XVI
1968	1968 год
1967	1967 год
1966	1966 год
1965	1965 год
1964	1964 год
Palermo	Палермо
Soka	Футбол
1963	1963 год
1962	1962 год
Madrid	Мадрид
Michael Jackson	Джексон, Майкл
Göttingen	Гёттинген
Kambra	Канберра
Ret (kala)	Красный цвет
1961	1961 год
Dakar	Дакар
Grup:Ol templet bilong tokples	Категория:Википедия:Шаблоны
1960	1960 год
Freetown	Фритаун
Wes Papua	Западная Новая Гвинея
Skul	Школа
Osasku	Озаску
Ples balus Dong Hoi	Донгхой (аэропорт)
Kuritiba	Куритиба
Jonathan Winters	Уинтерс, Джонатан
