افریقہ	Африка
جاپان	Япония
جنوبی امریکہ	Южная Америка
ناروے	Норвегия
انگلستان	Англия
سکاٹ لینڈ	Шотландия
ویلز	Уэльс
شمالی آئر لینڈ	Северная Ирландия
جمہوریہ آئرستان	Ирландия
مجارستان	Венгрия
ہسپانیہ	Испания
ریاستہائے متحدہ امریکہ	Соединённые Штаты Америки
بلجئیم	Бельгия
لکسمبرگ	Люксембург
کائنات	Вселенная
زمین	Земля
حیات (مقالہ ثانی)	Жизнь
موت (مقالہ ثانی)	Смерть
انسان	Человек разумный
خوشی	Счастье
جارج واشنگٹن	Вашингтон, Джордж
ڈگلس ایڈمس	Адамс, Дуглас
ٹم برنرز لی	Бернерс-Ли, Тим
وحش کا عدد	Число зверя
سٹینلے کوبریک	Кубрик, Стэнли
ویکی ڈیٹا	Викиданные
فن لینڈ	Финляндия
سویڈن	Швеция
ڈنمارک	Дания
پولینڈ	Польша
لتھووینیا	Литва
اطالیہ	Италия
سویٹزرلینڈ	Швейцария
آسٹریا	Австрия
یونان	Греция
ترکی	Турция
بیئر	Пиво
پرتگال	Португалия
یورپ	Европа
ایشیاء	Азия
شمالی امریکہ	Северная Америка
انٹارکٹکا	Антарктида
ویکیپیڈیا:ویکیپیڈیا	Википедия
نیدرلینڈز	Нидерланды
پی ایچ پی	PHP
نیویارک شہر	Нью-Йорк
واشنگٹن ڈی سی	Вашингтон (округ Колумбия)
سان فرانسسکو	Сан-Франциско
برلن	Берлин
لاس اینجلس	Лос-Анджелес
بوئنگ	Boeing
کمپیوٹر	Компьютер
برن	Берн
جنیوا	Женева
زیورخ	Цюрих
انٹرنیٹ	Интернет
بارک اوبامہ	Обама, Барак
یوراگوئے	Уругвай
بازیل	Базель
طابع	Принтер
میڈیاویکی	MediaWiki
لندن	Лондон
قاہرہ	Каир
سردرد	Головная боль
اسکندریہ	Александрия
سیب	Яблоко
پیرس	Париж
ابراہام لنکن	Линкольн, Авраам
اینڈروئیڈ	Android
گوگل	Google (компания)
بحر اوقیانوس	Атлантический океан
بحر الکاہل	Тихий океан
کیلی فورنیا	Калифорния
بوسٹن, میساچوسٹس	Бостон
پیر	Понедельник
جنوری	Январь
فروری	Февраль
مارچ	Март
مریخ	Марс
کینیا	Кения
ایتھوپیا	Эфиопия
بادشاہ	Монарх
گھانا	Гана
اپریل	Апрель
مئی	Май
جون	Июнь
جولائی	Июль
اگست	Август
ستمبر	Сентябрь
اکتوبر	Октябрь
نومبر	Ноябрь
دسمبر	Декабрь
منگل	Вторник
بدھ	Среда
جمعرات	Четверг
جمعہ	Пятница
ہفتہ	Суббота
اتوار	Воскресенье
فیلہ (شطرنج)	Слон (шахматы)
پیادہ (شطرنج)	Пешка
گھوڑا (شطرنج)	Конь (шахматы)
بادشاہ (شطرنج)	Король (шахматы)
ملکہ (شطرنج)	Ферзь
ببر (شیر)	Лев
فرانس	Франция
اسپرانتو	Эсперанто
کتا	Собака
برطانیہ	Великобритания
بلی	Кошка
چین	Китайская Народная Республика
فرانسیسی زبان	Французский язык
ویکی لغت	Викисловарь
مچھلی	Рыбы
ایتھنول	Этанол
الکحلی مشروب	Алкогольные напитки
برازیل	Бразилия
الکحل	Спирты
روس	Россия
حوتیہ	Китообразные
ریشہ	Текстильные волокна
یارکشائر	Йоркшир
مربع (ہندسہ)	Квадрат
بحیرہ	Море
بحیرہ اسود	Чёрное море
پائی	Пи (число)
ویکی	Вики
ٹورانٹو	Торонто
الاباما	Алабама
ساؤ پاؤلو	Сан-Паулу
ساؤ پاؤلو (ریاست)	Сан-Паулу (штат)
کیوبیک	Квебек
مؤسسہ ویکیمیڈیا	Фонд Викимедиа
جیمی ویلز	Уэйлс, Джимми
جرمنی	Германия
بیلاروس	Белоруссия
جرمن زبان	Немецкий язык
آئس لینڈ	Исландия
خدا	Бог
استونیا	Эстония
ڈیوڈ کیمرن	Кэмерон, Дэвид
زحل	Сатурн
حلقہ ہائے زحل	Кольца Сатурна
چاکلیٹ	Шоколад
آلو بالو	Вишня (плод)
طیارہ	Самолёт
جنگ	Война
1 (عدد)	1 (число)
2 (عدد)	2 (число)
3 (عدد)	3 (число)
4 (عدد)	4 (число)
5 (عدد)	5 (число)
صفر (عدد)	0 (число)
متناہی اور لامتناہی	Бесконечность
اسٹیفن ہارپر	Харпер, Стивен
جارج ڈبلیو بش	Буш, Джордж Уокер
مستطیل	Прямоугольник
لٹویا	Латвия
یوکرین	Украина
چیک جمہوریہ	Чехия
سلوواکیہ	Словакия
سلووینیا	Словения
ولنیس	Вильнюс
مالدووا	Молдавия
رومانیہ	Румыния
بلغاریہ	Болгария
روم	Рим
جمہوریہ مقدونیہ	Республика Македония
البانیا	Албания
گرین لینڈ	Гренландия (административная единица)
کروشیا	Хорватия
بوسنیا و ہرزیگووینا	Босния и Герцеговина
نوک	Нуук
آذربائیجان	Азербайджан
انڈورا	Андорра
قبرص	Республика Кипр
جارجیا	Грузия
والونیا	Валлония
قازقستان	Казахстан
مالٹا	Мальта
فلینڈرس	Фландрия (историческая область)
موناکو	Монако
مونٹینیگرو	Черногория
ویٹیکن سٹی	Ватикан
سان مارینو	Сан-Марино
برسلز	Брюссельский столичный регион
کیوبا	Куба
بیلیز	Белиз
ایفل ٹاور	Эйфелева башня
بارباڈوس	Барбадос
ووکس ویگن	Volkswagen
لاسلکی	Беспроводные технологии
تختۂ کلید	Компьютерная клавиатура
انڈونیشیا	Индонезия
وولف گینگ موزارٹ	Моцарт, Вольфганг Амадей
لڈوگ بیتھوون	Бетховен, Людвиг ван
ترکی زبان	Турецкий язык
جنوبی افریقہ	Южно-Африканская Республика
لنکن پارک	Linkin Park
الجزائر	Алжир
ازبکستان	Узбекистан
پوزنان	Познань
تاشقند	Ташкент
وارسا	Варшава
شراب	Вино
پانی	Вода
چمڑہ	Кожа (материал)
لکڑی	Древесина
ٹیلی ویژن	Телевидение
جنس (حیاتیات)	Пол организмов
فحش نگاری	Порнография
