Nditbonj	Япония
Nozveih	Норвегия
Aiwjlanz Gunghozgoz	Ирландия
Sihbanhyaz	Испания
Meijgoz	Соединённые Штаты Америки
Giuznamh	Земля
Vunz	Человек разумный
Tim Berners-Lee	Бернерс-Ли, Тим
Finlan	Финляндия
Nyeiqswq	Швейцария
Dujwjgiz	Турция
Yacouh	Азия
Namzgigcouh	Антарктида
Veizgiek Bakgoh	Википедия
Niujyoz	Нью-Йорк
Vazcingdonq	Вашингтон (округ Колумбия)
Dennauj	Компьютер
Bahliz	Париж
Linzgenj	Линкольн, Авраам
Fazgoz	Франция
Esperanto	Эсперанто
Yinghgoz	Великобритания
Cunghvaz Yinzminz Gunghozgoz	Китайская Народная Республика
Vah Fazgoz	Французский язык
Duzbya	Рыбы
Bahsih	Бразилия
Ezlozswh	Россия
Ginghyiz	Китообразные
Haijhaek	Чёрное море
São Paulo	Сан-Паулу
Dwzgoz	Германия
Vah Dwzgoz	Немецкий язык
Feihgih	Самолёт
It	1 (число)
Ngeih	2 (число)
Sam	3 (число)
Seiq	4 (число)
Haj	5 (число)
Lingz	0 (число)
Gwzlozdiya	Хорватия
Ahsehbaiqgyangh	Азербайджан
Hahsazgwswhdanj	Казахстан
Gujbah	Куба
Yindunizsihya	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Raemx	Вода
Chile	Чили
Yesu	Иисус Христос
Ndaundeiqhaemh	Венера
Ciencwng	Диктатура
Ndaundeiqfaex	Юпитер
Dahmbwn	Млечный Путь
Gohyoz	Наука
Soqyoz	Математика
Ronghndwen	Луна
Audaihleihya	Австралия
Hoengjlungz	Динозавры
Lech Wałęsa	Валенса, Лех
Simlingz	Ум
Sei	Поэзия
Louis Pasteur	Пастер, Луи
Doeng Divwnq	Восточный Тимор
Hwzdung	Чёрная дыра
Yangj	Кислород
Yinhyoz	Музыка
Moscow	Москва
Saen Saelanz	Новая Зеландия
Yindu	Индия
Diet	Железо
William Shakespeare	Шекспир, Уильям
Gyaz	Калий
Mungzguj	Монголия
Doengz	Медь
Doenghgo	Растения
Gwzlinznazdaz	Гренада
Massachusetts	Массачусетс
Mou	Домашняя свинья
Iran	Иран
Lao	Лаос
Majlaizsihya	Малайзия
Mienjdien	Мьянма
Joseph Stalin	Сталин, Иосиф Виссарионович
Cunghvaz Minzgoz	Китайская Республика
Daigoz	Таиланд
Hojceh	Поезд
Yiednamz	Вьетнам
Hanzgoz	Республика Корея
Gim	Золото
Feihlizbinh	Филиппины
Isaac Newton	Ньютон, Исаак
Albert Einstein	Эйнштейн, Альберт
Baekging	Пекин
Ganggoj Minzcuj Gunghozgoz	Демократическая Республика Конго
Moq Dwzlij	Нью-Дели
Nizywlihya	Нигерия
Charles Darwin	Дарвин, Чарлз
Gaejsa	Гай Юлий Цезарь
Dante	Данте Алигьери
Ngaenz	Серебро
Banh Gihvwnz	Пан Ги Мун
Lwgmanh	Перец овощной
Non	Насекомые
Giceh	Автомобиль
Sagwzlwgbouh	Загреб
Dunghgingh	Токио
Astana	Астана
Hahvaxnaz	Гавана
Vahyindi	Хинди
Neil Armstrong	Армстронг, Нил
Vah Vuhwjduh	Урду
Ho Chi Minh Si	Хошимин
Cin Yesu Gauqbaiq	Церковь истинного Иисуса
Vah Yinghgoz	Английский язык
Bangkok	Бангкок
Gizlungzpoh	Куала-Лумпур
Dong Hoi	Донгхой
Concepción	Консепсьон (город, Чили)
Lozmaj Daeqgoz	Римская империя
Cukgiuz	Футбол
Bahsihleihya	Бразилиа
Santiago de Chile	Сантьяго
Canberrah	Канберра
Feiz	Огонь
Dah Ganghgoj	Конго (река)
Ndaundeiqsauqbaet	Комета
Yajgyadaz	Джакарта
Dah Yamajsenhoz	Амазонка
Kinshasa	Киншаса
Dayoz	Университет
Wikipedia:Sandbox	Википедия:Песочница
Osasco	Озаску
Curitiba	Куритиба
Gungjswj	Конфуций
Marilyn Monroe	Мэрилин Монро
Le Corbusier	Ле Корбюзье
Geidoekgauq	Христианство
Duzroeg	Птицы
Soujduh	Столица
Vangz Yenfanh	Хуан Сяньфань
Cuenqsig	Алмаз
Vah Nditbonj	Японский язык
Yiebdaeuz	Заглавная страница
Adolf Butenandt	Бутенандт, Адольф Фридрих Иоганн
Saratov	Саратов
Dahcangzgyangh	Янцзы
Salvador Dalí	Дали, Сальвадор
Albrecht Dürer	Дюрер, Альбрехт
Michelangelo	Микеланджело
Pablo Picasso	Пикассо, Пабло
Abu Nuwas	Абу Нувас
Cervantes	Сервантес, Мигель де
Mauz Cwzdungh	Мао Цзэдун
Goethe	Гёте, Иоганн Вольфганг фон
Saiyaem	Влагалище женщины
Cwzyoz	Философия
分类:Candidates for speedy deletion	Категория:Википедия:К быстрому удалению
Fouzcwngfujcujyi	Анархизм
Swyouzcujyi	Либерализм
Hozmaj	Гомер
Dahhwzlungzgyangh	Амур
Kālidāsa	Калидаса
Lij Beg	Ли Бо
Niels Bohr	Бор, Нильс
Cigminzcujyi	Колониализм
Minzcuj	Демократия
Cwngfuj	Правительство
Caenz Hij Vuengz	Цинь Шихуанди
Elizabeth I	Елизавета I
Hanciuz	Хань (династия)
Han Vujdaeq	У-ди
Daiqgwzwj	Тагор, Рабиндранат
Ndei	Красота
Jacques Cartier	Картье, Жак
Christopher Columbus	Колумб, Христофор
James Cook	Кук, Джеймс
Dahvangzhoz	Хуанхэ
Huhbizlez	Хубилай
Doengnamzya guekgya lenzmungz	Ассоциация государств Юго-Восточной Азии
Yinghlenzbangh	Содружество наций
Vah Swahili	Суахили
Dunghgingh Dayoz	Токийский университет
Vahgun	Китайский язык
Mbwnnamh	Природа
Bwt	Лёгкие
Heiqhaeuh	Климат
Gvangvuz	Минерал
Caenleix	Истина
Banjgaiq goucauxlun	Тектоника плит
Avicenna	Ибн Сина
Rin	Горная порода
Haij Rongx	Цунами
Vwnzyoz	Литература
分类:Vwnzyoz	Категория:Литература
Hoengzlaeuzmoengh	Сон в красном тереме
Ahlijsanda Daihdaeq	Александр Македонский
Gawqlujsw daihdaeq	Кир II Великий
Umar	Умар ибн аль-Хаттаб
Bya	Гора
Sunh Cunghsanh	Сунь Ятсен
Ayuzvuengz	Ашока
Ahkezbah Daihdaeq	Акбар I Великий
Yanghgangj	Гонконг
Lengx Can	Холодная война
Soujwj	Сеул
Sanghaij	Шанхай
Mingzci veizsaen	Реставрация Мэйдзи
Cingciuz	Империя Цин
Yiednamz cancwngh	Война во Вьетнаме
Euclid	Евклид
Henry Ford	Форд, Генри
Moq Yenz	Мо Янь
James Watt	Уатт, Джеймс
Karl Marx	Маркс, Карл
Voltaire	Вольтер
Caiz	Знание
James Clerk Maxwell	Максвелл, Джеймс Клерк
Cij	Женская грудь
Erwin Schrödinger	Шрёдингер, Эрвин
Gojgaeqfangz	Мифология
Yenzgyaucijcujyi	Фундаментализм
Hoenz	Душа
Vah Yiednamz	Вьетнамский язык
Sigmund Freud	Фрейд, Зигмунд
Vahdai	Тайский язык
Vah Yindunizsihya	Индонезийский язык
Vahvuhswhbiedkez	Узбекский язык
Fanhyiengh	Вьентьян
Hingzveiz	Поведение
Lauxcij	Лао-цзы
Jean-Paul Sartre	Сартр, Жан-Поль
Daep	Печень
Sainyouh	Мочеиспускательный канал
Cu Heih	Чжу Си
Gamjcingz	Эмоция
Simleixhag	Психология
Swhsiengj	Мышление (психология)
Bienhcingqfap	Диалектика
Muhamed	Мухаммед
Lwnzleixyoz	Этика
Diemheiq	Дыхание
Dauhgyau	Даосизм
Suhfeicujyi	Суфизм
Vahmanggyalah	Бенгальский язык
Dangzciuz	Тан (династия)
Dangz Daihcoeng	Тай-цзун (династия Тан)
Ronald Reagan	Рейган, Рональд
Gaggaj	Самоубийство
Faex	Дерево
Doenghduz ndoencag	Хордовые
Byaek	Овощи
Vahfan	Санскрит
