非洲	Африка
日本	Япония
南美洲	Южная Америка
挪威	Норвегия
英倫	Англия
蘇格蘭	Шотландия
威爾斯	Уэльс
北愛爾蘭	Северная Ирландия
愛爾蘭共和國	Ирландия
匈牙利	Венгрия
西班牙	Испания
美國	Соединённые Штаты Америки
比利時	Бельгия
盧森堡	Люксембург
宇宙	Вселенная
地球	Земля
生命	Жизнь
死	Смерть
人	Человек разумный
開心	Счастье
佐治華盛頓	Вашингтон, Джордж
李柏納	Бернерс-Ли, Тим
Leet	Leet
寇比力克	Кубрик, Стэнли
瑪雅曆法	Календарь майя
維基數據	Викиданные
芬蘭	Финляндия
瑞典	Швеция
丹麥	Дания
波蘭	Польша
立陶宛	Литва
意大利	Италия
瑞士	Швейцария
奧地利	Австрия
希臘	Греция
土耳其	Турция
啤酒	Пиво
葡萄牙	Португалия
歐洲	Европа
亞洲	Азия
北美洲	Северная Америка
南極洲	Антарктида
維基百科	Википедия
荷蘭	Нидерланды
朘	Пенис у животных
PHP	PHP
紐約市	Нью-Йорк
華盛頓特區	Вашингтон (округ Колумбия)
三藩市	Сан-Франциско
柏林	Берлин
洛杉磯	Лос-Анджелес
波音	Boeing
空中客車	Airbus
電腦	Компьютер
伯恩	Берн
日內瓦	Женева
蘇黎世	Цюрих
互聯網	Интернет
奧巴馬	Обама, Барак
烏拉圭	Уругвай
巴塞爾	Базель
列印機	Принтер
MediaWiki	MediaWiki
倫敦	Лондон
開羅	Каир
頭刺	Головная боль
亞歷山大港	Александрия
蘋果	Яблоко
巴黎	Париж
林肯	Линкольн, Авраам
Android	Android
Google	Google (компания)
墨西哥	Мексика
大西洋	Атлантический океан
太平洋	Тихий океан
加利福尼亞州	Калифорния
波士頓	Бостон
星期一	Понедельник
空間	Пространство
1月	Январь
2月	Февраль
3月	Март
火星	Марс
肯雅	Кения
埃塞俄比亞	Эфиопия
君主	Монарх
加納	Гана
4月	Апрель
5月	Май
6月	Июнь
7月	Июль
8月	Август
9月	Сентябрь
10月	Октябрь
11月	Ноябрь
12月	Декабрь
星期二	Вторник
星期三	Среда
星期四	Четверг
星期五	Пятница
星期六	Суббота
星期日	Воскресенье
獅子	Лев
法國	Франция
世界語	Эсперанто
狗	Собака
英國	Великобритания
貓	Кошка
中華人民共和國	Китайская Народная Республика
法文	Французский язык
維基辭典	Викисловарь
魚	Рыбы
乙醇	Этанол
酒	Алкогольные напитки
巴西	Бразилия
酒精	Спирты
奧朗德	Олланд, Франсуа
俄羅斯	Россия
鯨魚	Китообразные
約郡	Йоркшир
正方形	Квадрат
海	Море
黑海	Чёрное море
圓周率	Пи (число)
Π	Пи (буква)
芒果 (水果)	Манго (фрукт)
Wiki	Вики
多倫多	Торонто
阿拉巴馬州	Алабама
聖保羅	Сан-Паулу
聖保羅州	Сан-Паулу (штат)
魁北克省	Квебек
意大利薄餅	Пицца
意式麪	Макаронные изделия
維基媒體基金會	Фонд Викимедиа
占美威爾斯	Уэйлс, Джимми
德國	Германия
白俄羅斯	Белоруссия
德文	Немецкий язык
冰島	Исландия
上帝	Бог
愛沙尼亞	Эстония
甘民樂	Кэмерон, Дэвид
土星	Сатурн
朱古力	Шоколад
車厘子	Вишня (плод)
飛機	Самолёт
打仗	Война
1	1 (число)
2	2 (число)
3	3 (число)
4	4 (число)
5	5 (число)
0	0 (число)
無限大	Бесконечность
喬治布殊	Буш, Джордж Уокер
拉脫維亞	Латвия
烏克蘭	Украина
捷克	Чехия
斯洛伐克	Словакия
斯洛文尼亞	Словения
維爾紐斯	Вильнюс
摩爾多瓦	Молдавия
羅馬尼亞	Румыния
保加利亞	Болгария
羅馬	Рим
馬其頓共和國	Республика Македония
阿爾巴尼亞	Албания
格陵蘭	Гренландия (административная единица)
克羅地亞	Хорватия
波斯尼亞	Босния и Герцеговина
努克	Нуук
阿塞拜疆	Азербайджан
安道爾	Андорра
塞浦路斯	Республика Кипр
格魯吉亞	Грузия
哈薩克	Казахстан
馬耳他	Мальта
摩納哥	Монако
黑山	Черногория
梵蒂岡	Ватикан
聖馬連奴	Сан-Марино
布魯塞爾	Брюссель
布魯塞爾首都區	Брюссельский столичный регион
古巴	Куба
伯利茲	Белиз
巴黎鐵塔	Эйфелева башня
巴巴多斯	Барбадос
勒士啤梨派	Raspberry Pi
福士汽車	Volkswagen
英特爾	Intel
鍵盤 (電腦)	Компьютерная клавиатура
Java程式語言	Java
印尼	Индонезия
QWERTY鍵盤	QWERTY
莫札特	Моцарт, Вольфганг Амадей
貝多芬	Бетховен, Людвиг ван
土耳其話	Турецкий язык
南非共和國	Южно-Африканская Республика
Linkin Park	Linkin Park
阿爾及利亞	Алжир
維基文庫	Викитека
颶風珊迪	Сэнди (ураган)
月即別	Узбекистан
塔什干	Ташкент
華沙	Варшава
威士忌	Виски
葡萄酒	Вино
水	Вода
干邑	Коньяк
真皮	Кожа (материал)
木	Древесина
電視	Телевидение
性	Пол организмов
鹹濕	Порнография
冰島文	Исландский язык
